GEO,Year,region,decile,Type,value,UOM
Iran,89,Rural,1,Total Expenditure per capita,696144.3584,Rials per month
Iran,89,Rural,5,Total Expenditure per capita,2297884.536,Rials per month
Iran,89,Rural,3,Total Expenditure per capita,1558195.312,Rials per month
Iran,89,Rural,2,Total Expenditure per capita,1192881.721,Rials per month
Iran,89,Rural,7,Total Expenditure per capita,3298964.489,Rials per month
Iran,89,Rural,6,Total Expenditure per capita,2742132.365,Rials per month
Iran,89,Rural,8,Total Expenditure per capita,4058465.96,Rials per month
Iran,89,Rural,4,Total Expenditure per capita,1926246.511,Rials per month
Iran,89,Rural,10,Total Expenditure per capita,9852942.819,Rials per month
Iran,89,Rural,9,Total Expenditure per capita,5312698.937,Rials per month
Iran,90,Total,6,Total Expenditure per capita,3212943.133,Rials per month
Iran,90,Total,4,Total Expenditure per capita,2309842.545,Rials per month
Iran,90,Total,2,Total Expenditure per capita,1517709.497,Rials per month
Iran,90,Total,7,Total Expenditure per capita,3812566.07,Rials per month
Iran,90,Total,10,Total Expenditure per capita,11911141.54,Rials per month
Iran,90,Total,8,Total Expenditure per capita,4657210.505,Rials per month
Iran,90,Total,5,Total Expenditure per capita,2732761.832,Rials per month
Iran,90,Total,9,Total Expenditure per capita,6040459.92,Rials per month
Iran,90,Total,3,Total Expenditure per capita,1914942.467,Rials per month
Iran,90,Total,1,Total Expenditure per capita,977685.902,Rials per month
Iran,90,Urban,6,Total Expenditure per capita,3216582.77,Rials per month
Iran,90,Urban,4,Total Expenditure per capita,2309057.733,Rials per month
Iran,90,Urban,2,Total Expenditure per capita,1523451.429,Rials per month
Iran,90,Urban,7,Total Expenditure per capita,3813608.376,Rials per month
Iran,90,Urban,10,Total Expenditure per capita,12091203.16,Rials per month
Iran,90,Urban,8,Total Expenditure per capita,4662158.628,Rials per month
Iran,90,Urban,5,Total Expenditure per capita,2734539.734,Rials per month
Iran,90,Urban,9,Total Expenditure per capita,6046730.342,Rials per month
Iran,90,Urban,3,Total Expenditure per capita,1920168.941,Rials per month
Iran,90,Urban,1,Total Expenditure per capita,1016037.018,Rials per month
Iran,90,Rural,3,Total Expenditure per capita,1905885.841,Rials per month
Iran,90,Rural,7,Total Expenditure per capita,3808461.753,Rials per month
Iran,90,Rural,9,Total Expenditure per capita,6006064.444,Rials per month
Iran,90,Rural,5,Total Expenditure per capita,2728107.268,Rials per month
Iran,90,Rural,2,Total Expenditure per capita,1510273.304,Rials per month
Iran,90,Rural,1,Total Expenditure per capita,954376.6129,Rials per month
Iran,90,Rural,4,Total Expenditure per capita,2311472.385,Rials per month
Iran,90,Rural,6,Total Expenditure per capita,3201683.764,Rials per month
Iran,90,Rural,10,Total Expenditure per capita,10358913.59,Rials per month
Iran,90,Rural,8,Total Expenditure per capita,4634156.888,Rials per month
Iran,91,Total,8,Total Expenditure per capita,5802455.383,Rials per month
Iran,91,Total,10,Total Expenditure per capita,15006930.29,Rials per month
Iran,91,Total,4,Total Expenditure per capita,2938485.644,Rials per month
Iran,91,Total,9,Total Expenditure per capita,7518989.864,Rials per month
Iran,91,Total,3,Total Expenditure per capita,2454701.285,Rials per month
Iran,91,Total,1,Total Expenditure per capita,1335479.022,Rials per month
Iran,91,Total,5,Total Expenditure per capita,3462162.519,Rials per month
Iran,91,Total,7,Total Expenditure per capita,4796948.974,Rials per month
Iran,91,Total,6,Total Expenditure per capita,4059929.071,Rials per month
Iran,91,Total,2,Total Expenditure per capita,1975239.064,Rials per month
Iran,91,Urban,8,Total Expenditure per capita,5802306.186,Rials per month
Iran,91,Urban,10,Total Expenditure per capita,15167560.83,Rials per month
Iran,91,Urban,4,Total Expenditure per capita,2938356.641,Rials per month
Iran,91,Urban,9,Total Expenditure per capita,7526902.002,Rials per month
