Year,GEO,Province,UOM,value
94,Iran,Kurdistan,Food Expenditure (Rials) per month per capita,1602950.224
94,Iran,Hamadan,Food Expenditure (Rials) per month per capita,1379471.312
94,Iran,Chahar Mahaal and Bakhtiari,Food Expenditure (Rials) per month per capita,1968966.086
94,Iran,Lorestan,Food Expenditure (Rials) per month per capita,1306776.888
94,Iran,Ilam,Food Expenditure (Rials) per month per capita,1074871.898
94,Iran,Kohkiluyeh and Buyer Ahmad,Food Expenditure (Rials) per month per capita,1500493.906
94,Iran,Bushehr,Food Expenditure (Rials) per month per capita,1350554.53
94,Iran,Zanjan,Food Expenditure (Rials) per month per capita,1293978.161
94,Iran,Semnan,Food Expenditure (Rials) per month per capita,1359431.193
94,Iran,Yazd,Food Expenditure (Rials) per month per capita,1516374.558
94,Iran,Hormozgan,Food Expenditure (Rials) per month per capita,1236747.447
94,Iran,Tehran,Food Expenditure (Rials) per month per capita,1778843.028
94,Iran,Ardabil,Food Expenditure (Rials) per month per capita,1421864.895
94,Iran,Qom,Food Expenditure (Rials) per month per capita,1036694.119
94,Iran,Qazvin,Food Expenditure (Rials) per month per capita,1466858.832
94,Iran,Golestan,Food Expenditure (Rials) per month per capita,1081062.206
94,Iran,North Khorasan,Food Expenditure (Rials) per month per capita,1356216.579
94,Iran,South Khorasan,Food Expenditure (Rials) per month per capita,1447259.826
94,Iran,Alborz,Food Expenditure (Rials) per month per capita,1582467.432
93,Iran,Markazi,Food Expenditure (Rials) per month per capita,1291738.681
93,Iran,Gilan,Food Expenditure (Rials) per month per capita,1595098.78
93,Iran,Mazandaran,Food Expenditure (Rials) per month per capita,1532594.197
93,Iran,East Azarbaijan,Food Expenditure (Rials) per month per capita,1391442.008
93,Iran,West Azarbaijan,Food Expenditure (Rials) per month per capita,1328493.487
93,Iran,Kermanshah,Food Expenditure (Rials) per month per capita,1395845.35
93,Iran,Khuzestan,Food Expenditure (Rials) per month per capita,1593782.108
93,Iran,Fars,Food Expenditure (Rials) per month per capita,1298119.934
93,Iran,Kerman,Food Expenditure (Rials) per month per capita,856305.0406
93,Iran,Razavi Khorasan,Food Expenditure (Rials) per month per capita,1502916.562
93,Iran,Esfahan,Food Expenditure (Rials) per month per capita,1583645.598
93,Iran,Sistan and Baluchistan,Food Expenditure (Rials) per month per capita,1038081.705
93,Iran,Kurdistan,Food Expenditure (Rials) per month per capita,1386031.459
93,Iran,Hamadan,Food Expenditure (Rials) per month per capita,1238305.029
93,Iran,Chahar Mahaal and Bakhtiari,Food Expenditure (Rials) per month per capita,1748893.375
93,Iran,Lorestan,Food Expenditure (Rials) per month per capita,1424268.254
93,Iran,Ilam,Food Expenditure (Rials) per month per capita,1121369.732
93,Iran,Kohkiluyeh and Buyer Ahmad,Food Expenditure (Rials) per month per capita,1639228.375
93,Iran,Bushehr,Food Expenditure (Rials) per month per capita,1417501.52
93,Iran,Zanjan,Food Expenditure (Rials) per month per capita,1269942.244
93,Iran,Semnan,Food Expenditure (Rials) per month per capita,1284155.151
93,Iran,Yazd,Food Expenditure (Rials) per month per capita,1335091.962
93,Iran,Hormozgan,Food Expenditure (Rials) per month per capita,1239002.378
93,Iran,Tehran,Food Expenditure (Rials) per month per capita,1576621.202
93,Iran,Ardabil,Food Expenditure (Rials) per month per capita,1456198.235
93,Iran,Qom,Food Expenditure (Rials) per month per capita,697332.4932
93,Iran,Qazvin,Food Expenditure (Rials) per month per capita,1410225.864
93,Iran,Golestan,Food Expenditure (Rials) per month per capita,973306.4875
93,Iran,North Khorasan,Food Expenditure (Rials) per month per capita,1187930.106
93,Iran,South Khorasan,Food Expenditure (Rials) per month per capita,1722354.474
93,Iran,Alborz,Food Expenditure (Rials) per month per capita,1555697.835
92,Iran,Markazi,Food Expenditure (Rials) per month per capita,1260026.943
92,Iran,Gilan,Food Expenditure (Rials) per month per capita,1578566.535
92,Iran,Mazandaran,Food Expenditure (Rials) per month per capita,1503021.01
92,Iran,East Azarbaijan,Food Expenditure (Rials) per month per capita,1370730.054
92,Iran,West Azarbaijan,Food Expenditure (Rials) per month per capita,1312670.054
92,Iran,Kermanshah,Food Expenditure (Rials) per month per capita,1363401.925
92,Iran,Khuzestan,Food Expenditure (Rials) per month per capita,1713313.966
92,Iran,Fars,Food Expenditure (Rials) per month per capita,1201679.836
92,Iran,Kerman,Food Expenditure (Rials) per month per capita,1056137.786
92,Iran,Razavi Khorasan,Food Expenditure (Rials) per month per capita,1327612.137
92,Iran,Esfahan,Food Expenditure (Rials) per month per capita,1452471.995
92,Iran,Sistan and Baluchistan,Food Expenditure (Rials) per month per capita,1062534.9
92,Iran,Kurdistan,Food Expenditure (Rials) per month per capita,1277472.854
92,Iran,Hamadan,Food Expenditure (Rials) per month per capita,873666.8574
92,Iran,Chahar Mahaal and Bakhtiari,Food Expenditure (Rials) per month per capita,1654327.147
92,Iran,Lorestan,Food Expenditure (Rials) per month per capita,1221443.073
92,Iran,Ilam,Food Expenditure (Rials) per month per capita,1281985.547
92,Iran,Kohkiluyeh and Buyer Ahmad,Food Expenditure (Rials) per month per capita,1461154.573
92,Iran,Bushehr,Food Expenditure (Rials) per month per capita,1253582.032
92,Iran,Zanjan,Food Expenditure (Rials) per month per capita,1448382.915
