Year,Decile,value,Variable
94,9,5.829326664,Cloth and footwear
94,10,6.911753162,Cloth and footwear
95,1,1.100989716,Cloth and footwear
95,2,1.793030606,Cloth and footwear
95,3,2.307732705,Cloth and footwear
95,4,2.914843795,Cloth and footwear
95,5,3.19196739,Cloth and footwear
95,6,3.688959661,Cloth and footwear
95,7,3.931643275,Cloth and footwear
95,8,3.740329417,Cloth and footwear
95,9,5.113083234,Cloth and footwear
95,10,6.601607778,Cloth and footwear
96,1,1.455820396,Cloth and footwear
96,2,1.76200144,Cloth and footwear
96,3,2.475647384,Cloth and footwear
96,4,2.882049122,Cloth and footwear
96,5,3.167737378,Cloth and footwear
96,6,3.322119756,Cloth and footwear
96,7,4.133947056,Cloth and footwear
96,8,4.493511798,Cloth and footwear
96,9,5.253954013,Cloth and footwear
96,10,6.121529027,Cloth and footwear
87,1,1.270486975,Cigar
87,2,1.189850804,Cigar
87,3,1.140807727,Cigar
87,4,0.997428169,Cigar
87,5,0.925084151,Cigar
87,6,0.846208796,Cigar
87,7,0.830262195,Cigar
87,8,0.609271974,Cigar
87,9,0.511613051,Cigar
87,10,0.383201942,Cigar
88,1,1.312240949,Cigar
88,2,1.230201804,Cigar
88,3,1.050135798,Cigar
88,4,1.076276522,Cigar
88,5,1.040017968,Cigar
88,6,0.756331855,Cigar
88,7,0.769328593,Cigar
88,8,0.58654124,Cigar
88,9,0.544276656,Cigar
88,10,0.40315177,Cigar
89,1,1.208393897,Cigar
89,2,1.099295956,Cigar
89,3,1.091669292,Cigar
89,4,0.965019158,Cigar
89,5,0.657265179,Cigar
89,6,0.717996893,Cigar
89,7,0.75828502,Cigar
89,8,0.600947911,Cigar
89,9,0.642697962,Cigar
89,10,0.376848185,Cigar
90,1,0.92965809,Cigar
90,2,0.932640552,Cigar
90,3,0.913264645,Cigar
90,4,0.739955035,Cigar
90,5,0.701912893,Cigar
90,6,0.674835367,Cigar
90,7,0.575555675,Cigar
90,8,0.614318831,Cigar
90,9,0.45231951,Cigar
90,10,0.445611989,Cigar
91,1,1.026728843,Cigar
91,2,0.921852661,Cigar
91,3,0.979852465,Cigar
91,4,0.951784166,Cigar
91,5,0.84173527,Cigar
91,6,0.875182518,Cigar
91,7,0.774597123,Cigar
91,8,0.694621161,Cigar
91,9,0.601059315,Cigar
91,10,0.500385652,Cigar
92,1,1.356372717,Cigar
92,2,1.148663956,Cigar
92,3,1.006682296,Cigar
92,4,0.903837934,Cigar
92,5,0.873288562,Cigar
92,6,0.814511027,Cigar
92,7,0.533174775,Cigar
92,8,0.692962404,Cigar
92,9,0.584863449,Cigar
92,10,0.572766052,Cigar
93,1,1.187510457,Cigar
93,2,1.075427006,Cigar
93,3,0.975213285,Cigar
93,4,0.927806174,Cigar
93,5,0.831714039,Cigar
93,6,0.743662742,Cigar
93,7,0.675407724,Cigar
93,8,0.596715871,Cigar
93,9,0.563668949,Cigar
93,10,0.462839573,Cigar
94,1,0.964722325,Cigar
94,2,0.992011749,Cigar
94,3,0.89536276,Cigar
94,4,0.912737601,Cigar
94,5,0.837625006,Cigar
94,6,0.781225698,Cigar
94,7,0.703502988,Cigar
94,8,0.774404441,Cigar
94,9,0.570387553,Cigar
94,10,0.420130146,Cigar
95,1,1.052390457,Cigar
95,2,0.894099761,Cigar
95,3,0.816993004,Cigar
