year,GEO,UOM,variable,decile,value
96,Iran,Price of food items 1000Rials per kg ,Meat,1,362.4054099
96,Iran,Price of food items 1000Rials per kg ,Sugar,1,69.21391875
96,Iran,Price of food items 1000Rials per kg ,Fruit,1,29.98961301
96,Iran,Price of food items 1000Rials per kg ,Chicken,1,68.67281768
96,Iran,Price of food items 1000Rials per kg ,Bread,1,17.07504326
96,Iran,Price of food items 1000Rials per kg ,Rice,1,61.81354212
96,Iran,Price of food items 1000Rials per kg ,Rice,2,63.90391137
96,Iran,Price of food items 1000Rials per kg ,Milk,1,27.23905792
96,Iran,Price of food items 1000Rials per kg ,Fish,1,192.2172934
96,Iran,Price of food items 1000Rials per kg ,Yogurt,1,32.7749435
95,Iran,Price of food items 1000Rials per kg ,Meat,1,296.8721118
95,Iran,Price of food items 1000Rials per kg ,Rice,1,52.5447149
95,Iran,Price of food items 1000Rials per kg ,Yogurt,1,30.58943963
95,Iran,Price of food items 1000Rials per kg ,Fruit,1,28.65585759
95,Iran,Price of food items 1000Rials per kg ,Chicken,1,62.32530547
95,Iran,Price of food items 1000Rials per kg ,Bread,1,16.53654039
95,Iran,Price of food items 1000Rials per kg ,Milk,1,25.67355577
95,Iran,Price of food items 1000Rials per kg ,Sugar,1,57.64019939
95,Iran,Price of food items 1000Rials per kg ,Meat,5,304.9987085
95,Iran,Price of food items 1000Rials per kg ,Sugar,5,77.98000948
95,Iran,Price of food items 1000Rials per kg ,Fish,5,174.7852102
95,Iran,Price of food items 1000Rials per kg ,Yogurt,5,30.27599177
95,Iran,Price of food items 1000Rials per kg ,Fruit,5,31.85047109
95,Iran,Price of food items 1000Rials per kg ,Bread,5,17.53511409
95,Iran,Price of food items 1000Rials per kg ,Milk,5,26.23766227
95,Iran,Price of food items 1000Rials per kg ,Meat,3,304.8909839
95,Iran,Price of food items 1000Rials per kg ,Sugar,3,69.13738227
95,Iran,Price of food items 1000Rials per kg ,Yogurt,3,30.19446759
95,Iran,Price of food items 1000Rials per kg ,Fruit,3,29.94990186
95,Iran,Price of food items 1000Rials per kg ,Chicken,3,63.85169516
95,Iran,Price of food items 1000Rials per kg ,Bread,3,17.29012783
95,Iran,Price of food items 1000Rials per kg ,Milk,3,24.48271398
95,Iran,Price of food items 1000Rials per kg ,Fish,4,175.5022984
95,Iran,Price of food items 1000Rials per kg ,Yogurt,4,30.17806026
95,Iran,Price of food items 1000Rials per kg ,Fruit,4,30.63635744
95,Iran,Price of food items 1000Rials per kg ,Chicken,4,63.82726204
95,Iran,Price of food items 1000Rials per kg ,Bread,4,17.33782487
95,Iran,Price of food items 1000Rials per kg ,Milk,4,25.27439753
95,Iran,Price of food items 1000Rials per kg ,Sugar,10,107.5831809
95,Iran,Price of food items 1000Rials per kg ,Fish,10,192.7282397
95,Iran,Price of food items 1000Rials per kg ,Yogurt,10,32.39336575
95,Iran,Price of food items 1000Rials per kg ,Fruit,10,39.72346636
95,Iran,Price of food items 1000Rials per kg ,Bread,10,19.30994185
95,Iran,Price of food items 1000Rials per kg ,Milk,10,24.52674567
95,Iran,Price of food items 1000Rials per kg ,Meat,6,300.3837164
95,Iran,Price of food items 1000Rials per kg ,Sugar,6,76.28671701
95,Iran,Price of food items 1000Rials per kg ,Yogurt,6,30.1633831
95,Iran,Price of food items 1000Rials per kg ,Fruit,6,32.36804532
95,Iran,Price of food items 1000Rials per kg ,Chicken,6,66.65599022
95,Iran,Price of food items 1000Rials per kg ,Bread,6,17.35922773
95,Iran,Price of food items 1000Rials per kg ,Milk,6,24.75037951
95,Iran,Price of food items 1000Rials per kg ,Meat,7,304.1834235
95,Iran,Price of food items 1000Rials per kg ,Sugar,7,81.25638208
95,Iran,Price of food items 1000Rials per kg ,Fish,7,182.8601958
95,Iran,Price of food items 1000Rials per kg ,Fruit,7,33.4048239
95,Iran,Price of food items 1000Rials per kg ,Chicken,7,67.21677967
95,Iran,Price of food items 1000Rials per kg ,Bread,7,17.49314927
95,Iran,Price of food items 1000Rials per kg ,Milk,7,26.13968707
95,Iran,Price of food items 1000Rials per kg ,Meat,8,307.2977055
95,Iran,Price of food items 1000Rials per kg ,Rice,8,64.37054593
95,Iran,Price of food items 1000Rials per kg ,Sugar,8,87.34838421
95,Iran,Price of food items 1000Rials per kg ,Fish,8,186.2893821
95,Iran,Price of food items 1000Rials per kg ,Fruit,8,34.07857615
95,Iran,Price of food items 1000Rials per kg ,Chicken,8,67.10603937
95,Iran,Price of food items 1000Rials per kg ,Bread,8,17.80938243
95,Iran,Price of food items 1000Rials per kg ,Milk,8,24.65664534
95,Iran,Price of food items 1000Rials per kg ,Rice,7,61.95178548
95,Iran,Price of food items 1000Rials per kg ,Yogurt,7,30.44720205
95,Iran,Price of food items 1000Rials per kg ,Sugar,4,76.59608073
95,Iran,Price of food items 1000Rials per kg ,Meat,10,310.7522729
95,Iran,Price of food items 1000Rials per kg ,Rice,10,76.40442913
95,Iran,Price of food items 1000Rials per kg ,Chicken,10,72.59643505
95,Iran,Price of food items 1000Rials per kg ,Fish,6,172.4710905
95,Iran,Price of food items 1000Rials per kg ,Meat,9,306.7488233
95,Iran,Price of food items 1000Rials per kg ,Rice,9,68.25075436
95,Iran,Price of food items 1000Rials per kg ,Sugar,9,91.48127482
95,Iran,Price of food items 1000Rials per kg ,Fish,9,187.9159543
95,Iran,Price of food items 1000Rials per kg ,Yogurt,9,31.0648321
95,Iran,Price of food items 1000Rials per kg ,Fruit,9,35.9898936
95,Iran,Price of food items 1000Rials per kg ,Chicken,9,69.26579583
95,Iran,Price of food items 1000Rials per kg ,Bread,9,17.99890901
95,Iran,Price of food items 1000Rials per kg ,Yogurt,8,30.93883503
95,Iran,Price of food items 1000Rials per kg ,Chicken,5,65.52388741
95,Iran,Price of food items 1000Rials per kg ,Rice,5,59.8956839
95,Iran,Price of food items 1000Rials per kg ,Milk,9,24.26764239
95,Iran,Price of food items 1000Rials per kg ,Meat,4,301.2412109
95,Iran,Price of food items 1000Rials per kg ,Rice,6,59.62337367
95,Iran,Price of food items 1000Rials per kg ,Fish,1,177.4528662
95,Iran,Price of food items 1000Rials per kg ,Rice,3,56.33898343
95,Iran,Price of food items 1000Rials per kg ,Rice,4,58.52099919
95,Iran,Price of food items 1000Rials per kg ,Meat,2,304.6708259
95,Iran,Price of food items 1000Rials per kg ,Rice,2,54.88126605
95,Iran,Price of food items 1000Rials per kg ,Sugar,2,65.98706892
95,Iran,Price of food items 1000Rials per kg ,Yogurt,2,30.36249998
95,Iran,Price of food items 1000Rials per kg ,Fruit,2,29.36353086
95,Iran,Price of food items 1000Rials per kg ,Chicken,2,63.94002803
95,Iran,Price of food items 1000Rials per kg ,Bread,2,17.03896434
95,Iran,Price of food items 1000Rials per kg ,Fish,3,175.4664887
95,Iran,Price of food items 1000Rials per kg ,Fish,2,174.3962477
95,Iran,Price of food items 1000Rials per kg ,Milk,2,25.00872901
94,Iran,Price of food items 1000Rials per kg ,Meat,4,277.1408275
94,Iran,Price of food items 1000Rials per kg ,Sugar,4,62.20053129
94,Iran,Price of food items 1000Rials per kg ,Yogurt,4,29.55807401
94,Iran,Price of food items 1000Rials per kg ,Fruit,4,29.90542779
94,Iran,Price of food items 1000Rials per kg ,Chicken,4,59.4857249
94,Iran,Price of food items 1000Rials per kg ,Bread,4,16.47565915
94,Iran,Price of food items 1000Rials per kg ,Milk,4,22.05029207
94,Iran,Price of food items 1000Rials per kg ,Meat,9,276.5862854
94,Iran,Price of food items 1000Rials per kg ,Sugar,9,77.66708821
94,Iran,Price of food items 1000Rials per kg ,Fish,9,180.008413
94,Iran,Price of food items 1000Rials per kg ,Yogurt,9,29.89705724
94,Iran,Price of food items 1000Rials per kg ,Fruit,9,33.85623427
94,Iran,Price of food items 1000Rials per kg ,Bread,9,16.66771087
94,Iran,Price of food items 1000Rials per kg ,Milk,9,23.96859841
94,Iran,Price of food items 1000Rials per kg ,Meat,1,271.9208698
94,Iran,Price of food items 1000Rials per kg ,Sugar,1,48.43996829
94,Iran,Price of food items 1000Rials per kg ,Fruit,1,27.77326407
94,Iran,Price of food items 1000Rials per kg ,Bread,1,16.06855835
94,Iran,Price of food items 1000Rials per kg ,Milk,1,21.81659172
94,Iran,Price of food items 1000Rials per kg ,Rice,1,47.53713633
94,Iran,Price of food items 1000Rials per kg ,Yogurt,1,28.93614144
94,Iran,Price of food items 1000Rials per kg ,Meat,5,277.2702803
94,Iran,Price of food items 1000Rials per kg ,Sugar,5,64.66419427
94,Iran,Price of food items 1000Rials per kg ,Yogurt,5,29.32131288
94,Iran,Price of food items 1000Rials per kg ,Fruit,5,30.70704016
94,Iran,Price of food items 1000Rials per kg ,Chicken,5,60.10139318
94,Iran,Price of food items 1000Rials per kg ,Bread,5,16.5724643
94,Iran,Price of food items 1000Rials per kg ,Milk,5,24.03396372
94,Iran,Price of food items 1000Rials per kg ,Meat,7,275.0541076
94,Iran,Price of food items 1000Rials per kg ,Sugar,7,68.86180897
94,Iran,Price of food items 1000Rials per kg ,Fish,7,176.1193581
94,Iran,Price of food items 1000Rials per kg ,Yogurt,7,29.65002508
94,Iran,Price of food items 1000Rials per kg ,Fruit,7,32.22751277
94,Iran,Price of food items 1000Rials per kg ,Chicken,7,60.65420518
94,Iran,Price of food items 1000Rials per kg ,Bread,7,16.72020688
94,Iran,Price of food items 1000Rials per kg ,Milk,7,23.38658916
94,Iran,Price of food items 1000Rials per kg ,Meat,10,274.9237865
94,Iran,Price of food items 1000Rials per kg ,Rice,10,61.65496978
94,Iran,Price of food items 1000Rials per kg ,Sugar,10,93.60508128
94,Iran,Price of food items 1000Rials per kg ,Fish,10,189.8047329
94,Iran,Price of food items 1000Rials per kg ,Yogurt,10,30.976522
94,Iran,Price of food items 1000Rials per kg ,Fruit,10,36.44263617
94,Iran,Price of food items 1000Rials per kg ,Chicken,10,65.92146707
94,Iran,Price of food items 1000Rials per kg ,Bread,10,17.35044234
94,Iran,Price of food items 1000Rials per kg ,Milk,10,23.87253723
94,Iran,Price of food items 1000Rials per kg ,Rice,9,57.95110888
94,Iran,Price of food items 1000Rials per kg ,Chicken,9,62.47709645
94,Iran,Price of food items 1000Rials per kg ,Meat,6,278.6978515
94,Iran,Price of food items 1000Rials per kg ,Rice,6,53.4251614
94,Iran,Price of food items 1000Rials per kg ,Sugar,6,66.17006801
94,Iran,Price of food items 1000Rials per kg ,Fish,6,172.2555214
94,Iran,Price of food items 1000Rials per kg ,Fruit,6,30.8499065
94,Iran,Price of food items 1000Rials per kg ,Bread,6,16.42512017
94,Iran,Price of food items 1000Rials per kg ,Milk,6,23.29139875
94,Iran,Price of food items 1000Rials per kg ,Meat,8,273.4977887
94,Iran,Price of food items 1000Rials per kg ,Sugar,8,73.93664385
94,Iran,Price of food items 1000Rials per kg ,Yogurt,8,29.69528825
94,Iran,Price of food items 1000Rials per kg ,Fruit,8,31.93003493
94,Iran,Price of food items 1000Rials per kg ,Chicken,8,61.74674534
94,Iran,Price of food items 1000Rials per kg ,Bread,8,16.32077806
94,Iran,Price of food items 1000Rials per kg ,Milk,8,24.44845323
94,Iran,Price of food items 1000Rials per kg ,Yogurt,6,29.7617722
94,Iran,Price of food items 1000Rials per kg ,Chicken,6,60.65089067
94,Iran,Price of food items 1000Rials per kg ,Meat,3,275.8809638
94,Iran,Price of food items 1000Rials per kg ,Fish,3,169.8806561
94,Iran,Price of food items 1000Rials per kg ,Yogurt,3,29.2356055
94,Iran,Price of food items 1000Rials per kg ,Fruit,3,29.35798045
94,Iran,Price of food items 1000Rials per kg ,Bread,3,16.16592004
94,Iran,Price of food items 1000Rials per kg ,Milk,3,22.98338544
94,Iran,Price of food items 1000Rials per kg ,Rice,7,54.63556183
94,Iran,Price of food items 1000Rials per kg ,Sugar,3,57.82034476
94,Iran,Price of food items 1000Rials per kg ,Chicken,3,58.78414061
94,Iran,Price of food items 1000Rials per kg ,Rice,8,55.28454333
94,Iran,Price of food items 1000Rials per kg ,Fish,8,174.0487043
94,Iran,Price of food items 1000Rials per kg ,Meat,2,277.7722998
94,Iran,Price of food items 1000Rials per kg ,Sugar,2,53.40843893
94,Iran,Price of food items 1000Rials per kg ,Fruit,2,28.70288516
94,Iran,Price of food items 1000Rials per kg ,Bread,2,16.23279933
94,Iran,Price of food items 1000Rials per kg ,Milk,2,24.12877207
94,Iran,Price of food items 1000Rials per kg ,Rice,3,51.70112907
94,Iran,Price of food items 1000Rials per kg ,Rice,4,51.36171359
94,Iran,Price of food items 1000Rials per kg ,Yogurt,2,28.9980472
94,Iran,Price of food items 1000Rials per kg ,Chicken,2,58.53591457
94,Iran,Price of food items 1000Rials per kg ,Rice,2,49.59015838
94,Iran,Price of food items 1000Rials per kg ,Chicken,1,58.03825637
94,Iran,Price of food items 1000Rials per kg ,Fish,4,170.9425035
94,Iran,Price of food items 1000Rials per kg ,Rice,5,52.21562323
94,Iran,Price of food items 1000Rials per kg ,Fish,2,169.92649
94,Iran,Price of food items 1000Rials per kg ,Fish,1,182.2128153
94,Iran,Price of food items 1000Rials per kg ,Fish,5,174.1406526
93,Iran,Price of food items 1000Rials per kg ,Meat,3,264.9241599
93,Iran,Price of food items 1000Rials per kg ,Rice,3,50.48073774
93,Iran,Price of food items 1000Rials per kg ,Yogurt,3,26.87195283
93,Iran,Price of food items 1000Rials per kg ,Fruit,3,27.51108852
93,Iran,Price of food items 1000Rials per kg ,Bread,3,13.40294871
93,Iran,Price of food items 1000Rials per kg ,Milk,3,21.47495065
93,Iran,Price of food items 1000Rials per kg ,Meat,1,262.7033344
93,Iran,Price of food items 1000Rials per kg ,Rice,1,46.03630335
93,Iran,Price of food items 1000Rials per kg ,Yogurt,1,26.72801348
93,Iran,Price of food items 1000Rials per kg ,Fruit,1,25.53602257
93,Iran,Price of food items 1000Rials per kg ,Chicken,1,62.69934677
93,Iran,Price of food items 1000Rials per kg ,Bread,1,13.44028494
93,Iran,Price of food items 1000Rials per kg ,Milk,1,19.95894746
93,Iran,Price of food items 1000Rials per kg ,Chicken,3,62.25485541
93,Iran,Price of food items 1000Rials per kg ,Meat,9,260.609366
93,Iran,Price of food items 1000Rials per kg ,Rice,9,55.84356549
93,Iran,Price of food items 1000Rials per kg ,Fish,9,173.1766104
93,Iran,Price of food items 1000Rials per kg ,Yogurt,9,27.59488081
93,Iran,Price of food items 1000Rials per kg ,Fruit,9,31.156156
93,Iran,Price of food items 1000Rials per kg ,Chicken,9,65.86078481
93,Iran,Price of food items 1000Rials per kg ,Bread,9,13.72916211
93,Iran,Price of food items 1000Rials per kg ,Milk,9,21.46486358
93,Iran,Price of food items 1000Rials per kg ,Sugar,1,41.56001611
93,Iran,Price of food items 1000Rials per kg ,Meat,5,263.1135554
93,Iran,Price of food items 1000Rials per kg ,Fish,5,161.0360384
93,Iran,Price of food items 1000Rials per kg ,Yogurt,5,26.94228358
93,Iran,Price of food items 1000Rials per kg ,Fruit,5,28.18201414
93,Iran,Price of food items 1000Rials per kg ,Chicken,5,63.25335418
93,Iran,Price of food items 1000Rials per kg ,Bread,5,13.44830489
93,Iran,Price of food items 1000Rials per kg ,Milk,5,21.80903886
93,Iran,Price of food items 1000Rials per kg ,Meat,6,263.4582585
93,Iran,Price of food items 1000Rials per kg ,Rice,6,52.90625488
93,Iran,Price of food items 1000Rials per kg ,Sugar,6,60.00344082
93,Iran,Price of food items 1000Rials per kg ,Fish,6,162.5389233
93,Iran,Price of food items 1000Rials per kg ,Yogurt,6,27.18899218
93,Iran,Price of food items 1000Rials per kg ,Fruit,6,28.45382136
93,Iran,Price of food items 1000Rials per kg ,Chicken,6,63.89705064
93,Iran,Price of food items 1000Rials per kg ,Bread,6,13.36469395
93,Iran,Price of food items 1000Rials per kg ,Milk,6,21.68371849
93,Iran,Price of food items 1000Rials per kg ,Meat,8,259.2649066
93,Iran,Price of food items 1000Rials per kg ,Yogurt,8,27.19433144
93,Iran,Price of food items 1000Rials per kg ,Fruit,8,29.82186596
93,Iran,Price of food items 1000Rials per kg ,Chicken,8,65.15502326
93,Iran,Price of food items 1000Rials per kg ,Bread,8,13.33386565
93,Iran,Price of food items 1000Rials per kg ,Milk,8,21.35359859
93,Iran,Price of food items 1000Rials per kg ,Rice,2,48.10067982
93,Iran,Price of food items 1000Rials per kg ,Sugar,2,49.62855231
93,Iran,Price of food items 1000Rials per kg ,Fish,2,159.6853289
93,Iran,Price of food items 1000Rials per kg ,Yogurt,2,27.05401456
93,Iran,Price of food items 1000Rials per kg ,Fruit,2,26.51226437
93,Iran,Price of food items 1000Rials per kg ,Bread,2,13.40173956
93,Iran,Price of food items 1000Rials per kg ,Milk,2,22.94095003
93,Iran,Price of food items 1000Rials per kg ,Meat,2,266.134911
93,Iran,Price of food items 1000Rials per kg ,Chicken,2,61.70633031
93,Iran,Price of food items 1000Rials per kg ,Rice,5,51.76549623
93,Iran,Price of food items 1000Rials per kg ,Sugar,5,56.43038642
93,Iran,Price of food items 1000Rials per kg ,Meat,10,260.5420859
93,Iran,Price of food items 1000Rials per kg ,Rice,10,58.02907813
93,Iran,Price of food items 1000Rials per kg ,Sugar,10,80.23798324
93,Iran,Price of food items 1000Rials per kg ,Fruit,10,33.18519005
93,Iran,Price of food items 1000Rials per kg ,Chicken,10,67.83115874
93,Iran,Price of food items 1000Rials per kg ,Bread,10,14.05300831
93,Iran,Price of food items 1000Rials per kg ,Milk,10,22.36951996
93,Iran,Price of food items 1000Rials per kg ,Meat,7,262.5879635
93,Iran,Price of food items 1000Rials per kg ,Fruit,7,29.09160566
93,Iran,Price of food items 1000Rials per kg ,Chicken,7,64.98831525
93,Iran,Price of food items 1000Rials per kg ,Bread,7,13.18343766
