"","a_HHID","a_year","a_ID","calc_EqSize","calc_real.decile","calc_nom.decile","calc_poverty.line","calc_final.poor","calc_poverty.gap","calc_povery.intensity"
"1",10001000132,"1402","140210001000132",1,"8","8",39540291.5694835,0,NA,NA
"2",10001000135,"1402","140210001000135",1.7,"9","8",39540291.5694835,0,NA,NA
"3",10001000141,"1402","140210001000141",1.7,"10","10",39540291.5694835,0,NA,NA
"4",10001000142,"1402","140210001000142",2.2,"10","9",39540291.5694835,0,NA,NA
"5",10001000144,"1402","140210001000144",2.9,"8","7",39540291.5694835,0,NA,NA
"6",10001000147,"1402","140210001000147",1,"10","9",39540291.5694835,0,NA,NA
"7",10001000235,"1402","140210001000235",3.6,"6","6",39540291.5694835,0,NA,NA
"8",10001000236,"1402","140210001000236",1.7,"9","9",39540291.5694835,0,NA,NA
"9",10001000239,"1402","140210001000239",1,"10","9",39540291.5694835,0,NA,NA
"10",10001000241,"1402","140210001000241",2.7,"5","5",39540291.5694835,0,NA,NA
"11",10001000244,"1402","140210001000244",3.8,"8","7",39540291.5694835,0,NA,NA
"12",10001000247,"1402","140210001000247",2.4,"5","5",39540291.5694835,0,NA,NA
"13",10001000332,"1402","140210001000332",1,"10","10",39540291.5694835,0,NA,NA
"14",10001000336,"1402","140210001000336",1.7,"7","7",39540291.5694835,0,NA,NA
"15",10001000338,"1402","140210001000338",3.1,"4","4",39540291.5694835,1,0.0040285583413948,1.62292823100216e-05
"16",10001000341,"1402","140210001000341",1,"10","10",39540291.5694835,0,NA,NA
"17",10001000344,"1402","140210001000344",3.1,"4","5",39540291.5694835,0,NA,NA
"18",10001000347,"1402","140210001000347",1,"9","9",39540291.5694835,0,NA,NA
"19",10001000432,"1402","140210001000432",2.4,"9","9",39540291.5694835,0,NA,NA
"20",10001000433,"1402","140210001000433",2.4,"8","8",39540291.5694835,0,NA,NA
"21",10001000438,"1402","140210001000438",2.4,"6","6",39540291.5694835,0,NA,NA
"22",10001000442,"1402","140210001000442",1,"10","10",39540291.5694835,0,NA,NA
"23",10001000444,"1402","140210001000444",2.9,"6","6",39540291.5694835,0,NA,NA
"24",10001000447,"1402","140210001000447",2.7,"7","7",39540291.5694835,0,NA,NA
"25",10001000533,"1402","140210001000533",2.9,"2","2",39540291.5694835,1,0.344747513277642,0.118850847911118
"26",10001000534,"1402","140210001000534",1,"9","9",39540291.5694835,0,NA,NA
"27",10001000539,"1402","140210001000539",2.7,"5","5",39540291.5694835,0,NA,NA
"28",10001000542,"1402","140210001000542",1,"7","7",39540291.5694835,0,NA,NA
"29",10001000544,"1402","140210001000544",2.9,"5","5",39540291.5694835,0,NA,NA
"30",10001000547,"1402","140210001000547",2.2,"4","4",39540291.5694835,1,0.00203720285576855,4.15019547555152e-06
"31",10001000632,"1402","140210001000632",3.1,"3","4",39540291.5694835,1,0.12016585367437,0.0144398323892901
"32",10001000633,"1402","140210001000633",1.7,"8","7",39540291.5694835,0,NA,NA
"33",10001000638,"1402","140210001000638",3.8,"3","3",39540291.5694835,1,0.229252801811093,0.0525568471382363
"34",10001000639,"1402","140210001000639",1.7,"8","8",39540291.5694835,0,NA,NA
"35",10001000644,"1402","140210001000644",2.4,"2","1",39540291.5694835,1,0.674805288618625,0.455362177547666
"36",10001000647,"1402","140210001000647",3.8,"4","4",39540291.5694835,1,0.0545971066334086,0.00298084405273978
"37",10001000731,"1402","140210001000731",2.2,"1","2",39540291.5694835,1,0.473814310556888,0.224500000888499
"38",10001000734,"1402","140210001000734",3.1,"1","1",39540291.5694835,1,0.662282937910436,0.438618689847279
"39",10001000737,"1402","140210001000737",1.7,"6","6",39540291.5694835,0,NA,NA
"40",10001000738,"1402","140210001000738",1.7,"8","8",39540291.5694835,0,NA,NA
"41",10001000744,"1402","140210001000744",1.7,"6","6",39540291.5694835,0,NA,NA
"42",10001000747,"1402","140210001000747",2.7,"7","7",39540291.5694835,0,NA,NA
"43",10001000931,"1402","140210001000931",1.7,"8","8",39540291.5694835,0,NA,NA
"44",10001000936,"1402","140210001000936",1.7,"8","7",39540291.5694835,0,NA,NA
"45",10001000937,"1402","140210001000937",2.7,"10","10",39540291.5694835,0,NA,NA
"46",10001000939,"1402","140210001000939",2.4,"7","7",39540291.5694835,0,NA,NA
"47",10001000944,"1402","140210001000944",2.7,"7","7",39540291.5694835,0,NA,NA
"48",10001000947,"1402","140210001000947",1.7,"10","10",39540291.5694835,0,NA,NA
"49",10001001032,"1402","140210001001032",1.7,"10","10",39540291.5694835,0,NA,NA
"50",10001001033,"1402","140210001001033",3.6,"10","10",39540291.5694835,0,NA,NA
"51",10001001041,"1402","140210001001041",1.7,"10","10",39540291.5694835,0,NA,NA
"52",10001001042,"1402","140210001001042",1.7,"7","7",39540291.5694835,0,NA,NA
"53",10001001044,"1402","140210001001044",2.4,"10","10",39540291.5694835,0,NA,NA
"54",10001001047,"1402","140210001001047",1,"9","9",39540291.5694835,0,NA,NA
"55",10001001131,"1402","140210001001131",2.4,"8","8",39540291.5694835,0,NA,NA
"56",10001001135,"1402","140210001001135",3.1,"10","10",39540291.5694835,0,NA,NA
"57",10001001137,"1402","140210001001137",2.2,"10","10",39540291.5694835,0,NA,NA
"58",10001001144,"1402","140210001001144",1.7,"9","8",39540291.5694835,0,NA,NA
"59",10001001147,"1402","140210001001147",2.4,"6","6",39540291.5694835,0,NA,NA
"60",10001001235,"1402","140210001001235",1.7,"8","7",39540291.5694835,0,NA,NA
"61",10001001236,"1402","140210001001236",1,"7","7",39540291.5694835,0,NA,NA
"62",10001001238,"1402","140210001001238",3.1,"5","5",39540291.5694835,0,NA,NA
"63",10001001240,"1402","140210001001240",2.4,"6","6",39540291.5694835,0,NA,NA
"64",10001001244,"1402","140210001001244",1.7,"8","7",39540291.5694835,0,NA,NA
"65",10001001247,"1402","140210001001247",1,"9","3",39540291.5694835,1,0.204171815108111,0.0416861300845409
"66",10001001332,"1402","140210001001332",2.4,"8","8",39540291.5694835,0,NA,NA
"67",10001001333,"1402","140210001001333",1.7,"8","8",39540291.5694835,0,NA,NA
"68",10001001338,"1402","140210001001338",2.7,"4","5",39540291.5694835,0,NA,NA
"69",10001001341,"1402","140210001001341",2.9,"10","9",39540291.5694835,0,NA,NA
"70",10001001344,"1402","140210001001344",1.7,"9","9",39540291.5694835,0,NA,NA
"71",10001001347,"1402","140210001001347",1.7,"7","6",39540291.5694835,0,NA,NA
"72",10001001434,"1402","140210001001434",3.1,"2","3",39540291.5694835,1,0.301408752685444,0.0908472361953952
"73",10001001436,"1402","140210001001436",2.9,"6","4",39540291.5694835,1,0.145241857804927,0.0210951972586267
"74",10001001438,"1402","140210001001438",2.2,"7","7",39540291.5694835,0,NA,NA
"75",10001001439,"1402","140210001001439",1,"9","9",39540291.5694835,0,NA,NA
"76",10001001444,"1402","140210001001444",1.7,"6","3",39540291.5694835,1,0.286053385302584,0.0818265392430685
"77",10001001447,"1402","140210001001447",1.7,"9","8",39540291.5694835,0,NA,NA
"78",10001001532,"1402","140210001001532",2.7,"1","1",39540291.5694835,1,0.547563922014115,0.299826248691479
"79",10001001535,"1402","140210001001535",1,"9","5",39540291.5694835,0,NA,NA
"80",10001001538,"1402","140210001001538",1.7,"3","3",39540291.5694835,1,0.149309875374606,0.0222934388843804
"81",10001001540,"1402","140210001001540",1.7,"7","7",39540291.5694835,0,NA,NA
"82",10001001544,"1402","140210001001544",1.7,"4","4",39540291.5694835,1,0.0864512167935595,0.00747381288508702
"83",10001001547,"1402","140210001001547",1.7,"7","7",39540291.5694835,0,NA,NA
"84",10001001632,"1402","140210001001632",1.7,"9","9",39540291.5694835,0,NA,NA
"85",10001001633,"1402","140210001001633",3.1,"5","5",39540291.5694835,0,NA,NA
"86",10001001640,"1402","140210001001640",2.9,"4","4",39540291.5694835,1,0.00904898756004557,8.18841758618595e-05
"87",10001001641,"1402","140210001001641",1.7,"9","9",39540291.5694835,0,NA,NA
"88",10001001644,"1402","140210001001644",2.4,"1","2",39540291.5694835,1,0.400878751594769,0.160703773480181
"89",10001001647,"1402","140210001001647",2.9,"4","4",39540291.5694835,1,0.0796684501889558,0.00634706195551013
"90",10001001731,"1402","140210001001731",1.7,"6","6",39540291.5694835,0,NA,NA
"91",10001001735,"1402","140210001001735",2.2,"6","6",39540291.5694835,0,NA,NA
"92",10001001738,"1402","140210001001738",2.4,"7","7",39540291.5694835,0,NA,NA
"93",10001001739,"1402","140210001001739",2.4,"1","1",39540291.5694835,1,0.63797270278964,0.407009169504718
