"","ProvinceName","Total_Exp_per","Total_Exp_per_Real","Net_Inc_per_Real","Cum_Total_Exp_per_Real","Cum_Net_Inc_per_Real","Year"
"18","Kohkiluyeh and Buyer Ahmad",38763820.9689189,18805102.8528971,23031690.4205803,4084976077426.27,5003105014991.38,"1402"
"19","Bushehr",67832340.102051,33042010.4799511,28747804.7429053,13740057469940.9,11954372133070.7,"1402"
"20","Zanjan",71368131.0056035,34728235.3927873,28558287.64575,12704039973741.7,10446992878554.7,"1402"
"21","Semnan",42311663.2012703,20640280.1559405,21848382.1290254,5262610950799.83,5570638294673.32,"1402"
"22","Yazd",63538184.6782695,31024980.3108585,33255037.7290832,12337176495553.7,13223965518083,"1402"
"23","Hormozgan",54555124.541301,26486671.2206157,20808620.1966741,16350089711129.9,12845057204305.9,"1402"
"24","Tehran",129811750.735468,63599981.832146,38217237.5704806,308616240641251,185447540186779,"1402"
"25","Ardabil",52919338.6231808,25742565.7242755,26868389.7022472,10899505297921.1,11376183673490.2,"1402"
"26","Qom",50735359.8567884,24841193.4208158,23184382.9036658,11322367549273.6,10567209883661.8,"1402"
"27","Qazvin",60980387.4918438,29730324.1282564,27803811.3545758,13358488697956.4,12492864125460.7,"1402"
"28","Golestan",49813927.6692883,24177472.6864319,24487213.6211314,15495342244734.1,15693855209783,"1402"
"29","North Khorasan",46314285.0239339,22495034.9741753,25003226.9787797,6416168845544.1,7131570418249.4,"1402"
"30","South Khorasan",46783513.6162672,22731607.9325992,22049194.763754,5868096392976.72,5691933480678.82,"1402"
"31","Alborz",83591664.0277012,40917937.4620213,33407589.9768602,41207595541314.9,33644082306306.3,"1402"
"32","Markazi",48012826.5191814,32920757.7977876,25164060.3215379,16250701072431.9,12421756041151.6,"1401"
"33","Gilan",41153264.1974374,28151651.905511,25633322.0860255,25696967439970.2,23398223494441.6,"1401"
"34","Mazandaran",53730333.5728629,36585436.3076431,35633293.00489,44036545149228.6,42890485247478.5,"1401"
"35","East Azarbaijan",37716642.4508704,25856299.8934133,28549887.6119149,34745727218435.9,38365373667919.9,"1401"
"36","West Azarbaijan",33414253.3332564,22856778.7025773,25783620.7572263,24021327319332.9,27097291431405.5,"1401"
"37","Kermanshah",33865609.121039,23246544.3004084,19099307.3245649,14729191533169.3,12101469882963.9,"1401"
"38","Khuzestan",31487480.4646998,21615930.8734566,24274077.506291,31945674041660.3,35874086210656.4,"1401"
"39","Fars",46123153.0715108,31615302.9216331,25269110.4180759,50727457050323.2,40544849961115.1,"1401"
"40","Kerman",25107872.0194375,17155218.6629565,21147186.9882432,18430247823274.1,22718911639408.6,"1401"
"41","Razavi Khorasan",37370473.8353706,25622661.7772218,20762073.8175727,56096775584805.4,45455285081073.3,"1401"
