"","a_HHID","a_year","a_ID","calc_EqSize","calc_real.decile","calc_nom.decile","calc_poverty.line","calc_final.poor","calc_poverty.gap","calc_povery.intensity"
"1",10001000113,"1399","139910001000113",3.1,"9","9",11555436.3307599,0,NA,NA
"2",10001000116,"1399","139910001000116",3.1,"9","9",11555436.3307599,0,NA,NA
"3",10001000120,"1399","139910001000120",2.4,"10","10",11555436.3307599,0,NA,NA
"4",10001000123,"1399","139910001000123",1.7,"10","10",11555436.3307599,0,NA,NA
"5",10001000126,"1399","139910001000126",1,"10","10",11555436.3307599,0,NA,NA
"6",10001000129,"1399","139910001000129",1.7,"10","10",11555436.3307599,0,NA,NA
"7",10001000214,"1399","139910001000214",3.2,"8","8",11555436.3307599,0,NA,NA
"8",10001000216,"1399","139910001000216",1.7,"4","5",11555436.3307599,0,NA,NA
"9",10001000219,"1399","139910001000219",2.4,"6","7",11555436.3307599,0,NA,NA
"10",10001000220,"1399","139910001000220",1,"9","9",11555436.3307599,0,NA,NA
"11",10001000226,"1399","139910001000226",3.1,"7","7",11555436.3307599,0,NA,NA
"12",10001000229,"1399","139910001000229",1.7,"9","9",11555436.3307599,0,NA,NA
"13",10001000314,"1399","139910001000314",2.4,"8","8",11555436.3307599,0,NA,NA
"14",10001000317,"1399","139910001000317",3.1,"7","8",11555436.3307599,0,NA,NA
"15",10001000319,"1399","139910001000319",2.4,"7","7",11555436.3307599,0,NA,NA
"16",10001000321,"1399","139910001000321",2.4,"7","7",11555436.3307599,0,NA,NA
"17",10001000326,"1399","139910001000326",2.9,"8","8",11555436.3307599,0,NA,NA
"18",10001000329,"1399","139910001000329",2.9,"9","9",11555436.3307599,0,NA,NA
"19",10001000414,"1399","139910001000414",2.2,"9","9",11555436.3307599,0,NA,NA
"20",10001000417,"1399","139910001000417",3.1,"8","8",11555436.3307599,0,NA,NA
"21",10001000420,"1399","139910001000420",1.7,"7","7",11555436.3307599,0,NA,NA
"22",10001000423,"1399","139910001000423",2.2,"9","8",11555436.3307599,0,NA,NA
"23",10001000426,"1399","139910001000426",1.7,"3","4",11555436.3307599,1,0.0930799662733726,0.00866388012145219
"24",10001000429,"1399","139910001000429",2.2,"8","8",11555436.3307599,0,NA,NA
"25",10001000514,"1399","139910001000514",3.2,"9","9",11555436.3307599,0,NA,NA
"26",10001000517,"1399","139910001000517",1.7,"8","8",11555436.3307599,0,NA,NA
"27",10001000520,"1399","139910001000520",1.7,"10","10",11555436.3307599,0,NA,NA
"28",10001000523,"1399","139910001000523",1,"10","10",11555436.3307599,0,NA,NA
"29",10001000526,"1399","139910001000526",1.7,"10","10",11555436.3307599,0,NA,NA
"30",10001000529,"1399","139910001000529",1.7,"10","10",11555436.3307599,0,NA,NA
"31",10001000613,"1399","139910001000613",2.2,"8","8",11555436.3307599,0,NA,NA
"32",10001000614,"1399","139910001000614",2.4,"4","5",11555436.3307599,0,NA,NA
"33",10001000619,"1399","139910001000619",1.7,"8","8",11555436.3307599,0,NA,NA
"34",10001000620,"1399","139910001000620",2.4,"6","6",11555436.3307599,0,NA,NA
"35",10001000626,"1399","139910001000626",1.7,"8","8",11555436.3307599,0,NA,NA
"36",10001000629,"1399","139910001000629",3.8,"3","4",11555436.3307599,1,0.104609825968415,0.0109432156891421
"37",10001000716,"1399","139910001000716",1,"8","8",11555436.3307599,0,NA,NA
"38",10001000717,"1399","139910001000717",2.4,"5","6",11555436.3307599,0,NA,NA
"39",10001000720,"1399","139910001000720",2.7,"5","6",11555436.3307599,0,NA,NA
"40",10001000723,"1399","139910001000723",2.9,"5","6",11555436.3307599,0,NA,NA
"41",10001000726,"1399","139910001000726",3.2,"1","2",11555436.3307599,1,0.360278040986569,0.12980026681712
"42",10001000729,"1399","139910001000729",3.1,"4","5",11555436.3307599,0,NA,NA
"43",10001000915,"1399","139910001000915",1.7,"10","10",11555436.3307599,0,NA,NA
"44",10001000916,"1399","139910001000916",2.7,"7","7",11555436.3307599,0,NA,NA
"45",10001000920,"1399","139910001000920",1.7,"9","9",11555436.3307599,0,NA,NA
"46",10001000923,"1399","139910001000923",2.2,"8","8",11555436.3307599,0,NA,NA
"47",10001000926,"1399","139910001000926",3.1,"8","8",11555436.3307599,0,NA,NA
"48",10001000929,"1399","139910001000929",1.7,"9","9",11555436.3307599,0,NA,NA
"49",10001001013,"1399","139910001001013",2.4,"10","10",11555436.3307599,0,NA,NA
"50",10001001015,"1399","139910001001015",1.7,"10","10",11555436.3307599,0,NA,NA
"51",10001001020,"1399","139910001001020",1.7,"10","10",11555436.3307599,0,NA,NA
"52",10001001023,"1399","139910001001023",3.6,"9","9",11555436.3307599,0,NA,NA
"53",10001001026,"1399","139910001001026",2.4,"10","9",11555436.3307599,0,NA,NA
"54",10001001029,"1399","139910001001029",1.7,"10","10",11555436.3307599,0,NA,NA
"55",10001001113,"1399","139910001001113",1.7,"10","10",11555436.3307599,0,NA,NA
"56",10001001114,"1399","139910001001114",2.4,"9","9",11555436.3307599,0,NA,NA
"57",10001001119,"1399","139910001001119",1.7,"10","9",11555436.3307599,0,NA,NA
"58",10001001120,"1399","139910001001120",1,"10","10",11555436.3307599,0,NA,NA
"59",10001001126,"1399","139910001001126",3.1,"4","5",11555436.3307599,0,NA,NA
"60",10001001129,"1399","139910001001129",2.4,"7","8",11555436.3307599,0,NA,NA
"61",10001001217,"1399","139910001001217",1,"9","9",11555436.3307599,0,NA,NA
"62",10001001218,"1399","139910001001218",1,"6","5",11555436.3307599,0,NA,NA
"63",10001001220,"1399","139910001001220",1.7,"3","4",11555436.3307599,1,0.0582636218004286,0.00339464962530337
"64",10001001223,"1399","139910001001223",1.7,"7","7",11555436.3307599,0,NA,NA
"65",10001001226,"1399","139910001001226",2.4,"9","9",11555436.3307599,0,NA,NA
"66",10001001229,"1399","139910001001229",3.1,"3","4",11555436.3307599,1,0.0914592131956724,0.00836478767837147
"67",10001001313,"1399","139910001001313",2.9,"9","9",11555436.3307599,0,NA,NA
"68",10001001315,"1399","139910001001315",1.7,"9","9",11555436.3307599,0,NA,NA
"69",10001001320,"1399","139910001001320",2.2,"9","9",11555436.3307599,0,NA,NA
"70",10001001323,"1399","139910001001323",2.9,"5","6",11555436.3307599,0,NA,NA
"71",10001001326,"1399","139910001001326",2.2,"7","7",11555436.3307599,0,NA,NA
"72",10001001329,"1399","139910001001329",3.4,"8","8",11555436.3307599,0,NA,NA
"73",10001001414,"1399","139910001001414",2.4,"8","8",11555436.3307599,0,NA,NA
"74",10001001418,"1399","139910001001418",3.4,"6","4",11555436.3307599,1,0.0177118874369788,0.000313710956580206
"75",10001001423,"1399","139910001001423",2.9,"9","9",11555436.3307599,0,NA,NA
"76",10001001424,"1399","139910001001424",2.9,"10","10",11555436.3307599,0,NA,NA
"77",10001001426,"1399","139910001001426",1.7,"9","9",11555436.3307599,0,NA,NA
"78",10001001429,"1399","139910001001429",2.2,"10","10",11555436.3307599,0,NA,NA
"79",10001001513,"1399","139910001001513",3.1,"5","5",11555436.3307599,0,NA,NA
"80",10001001516,"1399","139910001001516",2.4,"4","5",11555436.3307599,0,NA,NA
"81",10001001520,"1399","139910001001520",2.7,"3","4",11555436.3307599,1,0.0564228242998943,0.00318353510197674
"82",10001001523,"1399","139910001001523",2.7,"3","4",11555436.3307599,1,0.110323605909769,0.012171298020934
"83",10001001526,"1399","139910001001526",1.7,"6","6",11555436.3307599,0,NA,NA
"84",10001001529,"1399","139910001001529",2.4,"3","3",11555436.3307599,1,0.162945785548165,0.0265513290279086
"85",10001001613,"1399","139910001001613",3.6,"5","5",11555436.3307599,0,NA,NA
"86",10001001618,"1399","139910001001618",3.1,"4","5",11555436.3307599,0,NA,NA
"87",10001001620,"1399","139910001001620",1.7,"9","8",11555436.3307599,0,NA,NA
"88",10001001623,"1399","139910001001623",2.4,"6","6",11555436.3307599,0,NA,NA
"89",10001001626,"1399","139910001001626",1.7,"9","9",11555436.3307599,0,NA,NA
"90",10001001629,"1399","139910001001629",1.7,"10","9",11555436.3307599,0,NA,NA
"91",10001001713,"1399","139910001001713",1,"6","7",11555436.3307599,0,NA,NA
"92",10001001716,"1399","139910001001716",1,"5","5",11555436.3307599,0,NA,NA
"93",10001001721,"1399","139910001001721",2.4,"6","7",11555436.3307599,0,NA,NA
"94",10001001723,"1399","139910001001723",3.8,"1","2",11555436.3307599,1,0.400265053323932,0.16021211291241
"95",10001001726,"1399","139910001001726",2.4,"9","9",11555436.3307599,0,NA,NA
"96",10001001729,"1399","139910001001729",1.7,"6","5",11555436.3307599,0,NA,NA
"97",10001001814,"1399","139910001001814",2.4,"7","8",11555436.3307599,0,NA,NA
"98",10001001817,"1399","139910001001817",2.2,"9","8",11555436.3307599,0,NA,NA
"99",10001001821,"1399","139910001001821",2.7,"9","9",11555436.3307599,0,NA,NA
"100",10001001822,"1399","139910001001822",2.4,"10","9",11555436.3307599,0,NA,NA
"101",10001001826,"1399","139910001001826",1.7,"10","10",11555436.3307599,0,NA,NA
"102",10001001829,"1399","139910001001829",1.7,"10","10",11555436.3307599,0,NA,NA
"103",10001001914,"1399","139910001001914",2.4,"3","4",11555436.3307599,1,0.0638297934240329,0.00407424252855471
"104",10001001916,"1399","139910001001916",2.9,"4","5",11555436.3307599,0,NA,NA
"105",10001001920,"1399","139910001001920",2.9,"1","1",11555436.3307599,1,0.563629027826749,0.317677681008926
"106",10001001923,"1399","139910001001923",1.7,"7","8",11555436.3307599,0,NA,NA
"107",10001001926,"1399","139910001001926",2.2,"9","9",11555436.3307599,0,NA,NA
"108",10001001929,"1399","139910001001929",2.2,"4","5",11555436.3307599,0,NA,NA
"109",10001002014,"1399","139910001002014",2.9,"4","5",11555436.3307599,0,NA,NA
"110",10001002017,"1399","139910001002017",2.2,"2","3",11555436.3307599,1,0.301250930226044,0.090752122962057
"111",10001002020,"1399","139910001002020",2.2,"6","5",11555436.3307599,0,NA,NA
"112",10001002021,"1399","139910001002021",2.2,"7","8",11555436.3307599,0,NA,NA
"113",10001002026,"1399","139910001002026",2.2,"8","7",11555436.3307599,0,NA,NA
"114",10001002029,"1399","139910001002029",2.2,"6","6",11555436.3307599,0,NA,NA
