"","a_HHID","a_year","a_ID","calc_EqSize","calc_real.decile","calc_nom.decile","calc_poverty.line","calc_final.poor","calc_poverty.gap","calc_povery.intensity"
"1",10001000102,"1397","139710001000102",3.1,"6","6",6333671.28022301,0,NA,NA
"2",10001000105,"1397","139710001000105",1,"10","10",6333671.28022301,0,NA,NA
"3",10001000108,"1397","139710001000108",2.4,"9","8",6333671.28022301,0,NA,NA
"4",10001000111,"1397","139710001000111",3.1,"7","7",6333671.28022301,0,NA,NA
"5",10001000114,"1397","139710001000114",3.1,"8","7",6333671.28022301,0,NA,NA
"6",10001000117,"1397","139710001000117",1,"10","9",6333671.28022301,0,NA,NA
"7",10001000202,"1397","139710001000202",1.7,"6","5",6333671.28022301,0,NA,NA
"8",10001000205,"1397","139710001000205",2.4,"5","5",6333671.28022301,0,NA,NA
"9",10001000208,"1397","139710001000208",1.7,"7","6",6333671.28022301,0,NA,NA
"10",10001000211,"1397","139710001000211",3.1,"4","4",6333671.28022301,1,0.0608948996723088,0.00370818880610055
"11",10001000214,"1397","139710001000214",2.7,"9","8",6333671.28022301,0,NA,NA
"12",10001000217,"1397","139710001000217",2.4,"8","7",6333671.28022301,0,NA,NA
"13",10001000302,"1397","139710001000302",1.7,"10","9",6333671.28022301,0,NA,NA
"14",10001000305,"1397","139710001000305",2.4,"9","8",6333671.28022301,0,NA,NA
"15",10001000308,"1397","139710001000308",1,"9","8",6333671.28022301,0,NA,NA
"16",10001000311,"1397","139710001000311",2.2,"9","8",6333671.28022301,0,NA,NA
"17",10001000314,"1397","139710001000314",1.7,"10","9",6333671.28022301,0,NA,NA
"18",10001000317,"1397","139710001000317",2.7,"9","8",6333671.28022301,0,NA,NA
"19",10001000402,"1397","139710001000402",2.4,"9","8",6333671.28022301,0,NA,NA
"20",10001000405,"1397","139710001000405",2.4,"6","6",6333671.28022301,0,NA,NA
"21",10001000408,"1397","139710001000408",1.7,"8","7",6333671.28022301,0,NA,NA
"22",10001000411,"1397","139710001000411",1.5,"5","2",6333671.28022301,1,0.330886672740608,0.10948599019735
"23",10001000414,"1397","139710001000414",2.2,"7","7",6333671.28022301,0,NA,NA
"24",10001000417,"1397","139710001000417",3.1,"7","6",6333671.28022301,0,NA,NA
"25",10001000502,"1397","139710001000502",2.4,"8","8",6333671.28022301,0,NA,NA
"26",10001000505,"1397","139710001000505",2.2,"9","8",6333671.28022301,0,NA,NA
"27",10001000508,"1397","139710001000508",2.4,"2","3",6333671.28022301,1,0.226312205501977,0.0512172143591691
"28",10001000511,"1397","139710001000511",2.9,"10","10",6333671.28022301,0,NA,NA
"29",10001000514,"1397","139710001000514",2.7,"9","8",6333671.28022301,0,NA,NA
"30",10001000517,"1397","139710001000517",1.7,"9","8",6333671.28022301,0,NA,NA
