"","a_HHID","a_year","a_ID","calc_EqSize","calc_real.decile","calc_nom.decile","calc_poverty.line","calc_final.poor","calc_poverty.gap","calc_povery.intensity"
"1",10001000108,"1393","139310001000108",1,"3","3",3548296.9652665,1,0.0728852052337464,0.00531225314196534
"2",10001000112,"1393","139310001000112",3.6,"1","2",3548296.9652665,1,0.285048151205483,0.0812524485056637
"3",10001000116,"1393","139310001000116",3.1,"3","4",3548296.9652665,0,NA,NA
"4",10001000117,"1393","139310001000117",2,"9","8",3548296.9652665,0,NA,NA
"5",10001000120,"1393","139310001000120",1.7,"1","1",3548296.9652665,1,0.400023274525603,0.160018620162186
"6",10001000123,"1393","139310001000123",1.7,"5","5",3548296.9652665,0,NA,NA
"7",10001000208,"1393","139310001000208",2.9,"6","6",3548296.9652665,0,NA,NA
"8",10001000212,"1393","139310001000212",2.4,"8","8",3548296.9652665,0,NA,NA
"9",10001000213,"1393","139310001000213",2.2,"6","6",3548296.9652665,0,NA,NA
"10",10001000216,"1393","139310001000216",2.4,"2","3",3548296.9652665,1,0.135054207654626,0.0182396390052189
"11",10001000220,"1393","139310001000220",3.1,"2","3",3548296.9652665,1,0.0947519365711043,0.00897792948397457
"12",10001000223,"1393","139310001000223",2.9,"5","5",3548296.9652665,0,NA,NA
"13",10001000308,"1393","139310001000308",2.7,"5","5",3548296.9652665,0,NA,NA
"14",10001000312,"1393","139310001000312",2.4,"10","10",3548296.9652665,0,NA,NA
"15",10001000313,"1393","139310001000313",2.7,"7","7",3548296.9652665,0,NA,NA
"16",10001000316,"1393","139310001000316",2.4,"4","4",3548296.9652665,0,NA,NA
"17",10001000320,"1393","139310001000320",2.4,"9","9",3548296.9652665,0,NA,NA
"18",10001000323,"1393","139310001000323",3.1,"7","7",3548296.9652665,0,NA,NA
"19",10001000408,"1393","139310001000408",2.9,"4","4",3548296.9652665,0,NA,NA
"20",10001000412,"1393","139310001000412",2.9,"7","7",3548296.9652665,0,NA,NA
"21",10001000413,"1393","139310001000413",1.7,"8","8",3548296.9652665,0,NA,NA
"22",10001000414,"1393","139310001000414",1.7,"7","6",3548296.9652665,0,NA,NA
"23",10001000420,"1393","139310001000420",2.4,"4","5",3548296.9652665,0,NA,NA
"24",10001000423,"1393","139310001000423",2.2,"8","8",3548296.9652665,0,NA,NA
"25",10001000508,"1393","139310001000508",2.2,"4","3",3548296.9652665,1,0.128267885379745,0.0164526504197914
"26",10001000512,"1393","139310001000512",2.2,"4","2",3548296.9652665,1,0.195742454510243,0.0383151084976947
"27",10001000513,"1393","139310001000513",1.7,"6","4",3548296.9652665,0,NA,NA
"28",10001000518,"1393","139310001000518",2.9,"2","1",3548296.9652665,1,0.470510376790101,0.221380014667163
"29",10001000520,"1393","139310001000520",3.2,"3","3",3548296.9652665,0,NA,NA
"30",10001000523,"1393","139310001000523",3.1,"7","6",3548296.9652665,0,NA,NA
"31",10001000608,"1393","139310001000608",2.7,"7","7",3548296.9652665,0,NA,NA
"32",10001000612,"1393","139310001000612",2.7,"8","7",3548296.9652665,0,NA,NA
"33",10001000613,"1393","139310001000613",1.7,"1","2",3548296.9652665,1,0.342724542955112,0.11746011234379
"34",10001000616,"1393","139310001000616",2.7,"9","9",3548296.9652665,0,NA,NA
"35",10001000620,"1393","139310001000620",2.4,"5","5",3548296.9652665,0,NA,NA
"36",10001000623,"1393","139310001000623",1.7,"9","9",3548296.9652665,0,NA,NA
"37",10001000707,"1393","139310001000707",1.7,"10","10",3548296.9652665,0,NA,NA
"38",10001000712,"1393","139310001000712",2.4,"9","9",3548296.9652665,0,NA,NA
"39",10001000713,"1393","139310001000713",2.2,"10","10",3548296.9652665,0,NA,NA
"40",10001000714,"1393","139310001000714",2.4,"10","10",3548296.9652665,0,NA,NA
"41",10001000720,"1393","139310001000720",3.2,"10","10",3548296.9652665,0,NA,NA
"42",10001000723,"1393","139310001000723",2.4,"10","10",3548296.9652665,0,NA,NA
"43",10001000808,"1393","139310001000808",3.1,"8","8",3548296.9652665,0,NA,NA
"44",10001000812,"1393","139310001000812",1.7,"1","2",3548296.9652665,1,0.295759532601623,0.0874737011247303
"45",10001000813,"1393","139310001000813",1.7,"9","9",3548296.9652665,0,NA,NA
"46",10001000814,"1393","139310001000814",2.7,"8","6",3548296.9652665,0,NA,NA
"47",10001000820,"1393","139310001000820",2.2,"3","3",3548296.9652665,1,0.0439890993191378,0.00193504085890897
"48",10001000823,"1393","139310001000823",1,"4","4",3548296.9652665,0,NA,NA
"49",10001000908,"1393","139310001000908",3.4,"3","3",3548296.9652665,1,0.0364940209380461,0.00133181356422655
"50",10001000912,"1393","139310001000912",2.2,"9","9",3548296.9652665,0,NA,NA
"51",10001000913,"1393","139310001000913",2.9,"6","6",3548296.9652665,0,NA,NA
"52",10001000916,"1393","139310001000916",2.9,"4","4",3548296.9652665,0,NA,NA
"53",10001000920,"1393","139310001000920",2.9,"2","3",3548296.9652665,1,0.109945680875646,0.0120880527432093
"54",10001000923,"1393","139310001000923",2.7,"6","6",3548296.9652665,0,NA,NA
"55",10001001008,"1393","139310001001008",5.2,"2","3",3548296.9652665,1,0.165782731479048,0.0274839140566541
"56",10001001012,"1393","139310001001012",1.7,"2","3",3548296.9652665,1,0.118175310978095,0.0139654041247695
"57",10001001013,"1393","139310001001013",3.2,"1","2",3548296.9652665,1,0.333098985424784,0.11095493409102
"58",10001001015,"1393","139310001001015",3.6,"3","3",3548296.9652665,1,0.0896008180593576,0.00802830659690611
"59",10001001020,"1393","139310001001020",1.7,"3","2",3548296.9652665,1,0.247194491064244,0.0611051164125107
"60",10001001023,"1393","139310001001023",3.4,"1","1",3548296.9652665,1,0.388054680749364,0.150586435251491
"61",10001001108,"1393","139310001001108",1,"10","10",3548296.9652665,0,NA,NA
"62",10001001112,"1393","139310001001112",1.7,"10","10",3548296.9652665,0,NA,NA
"63",10001001113,"1393","139310001001113",1.7,"10","10",3548296.9652665,0,NA,NA
"64",10001001116,"1393","139310001001116",3.8,"8","8",3548296.9652665,0,NA,NA
"65",10001001120,"1393","139310001001120",2.4,"10","10",3548296.9652665,0,NA,NA
"66",10001001123,"1393","139310001001123",3.8,"7","7",3548296.9652665,0,NA,NA
"67",10001001210,"1393","139310001001210",2.4,"9","8",3548296.9652665,0,NA,NA
"68",10001001211,"1393","139310001001211",3.8,"5","5",3548296.9652665,0,NA,NA
"69",10001001213,"1393","139310001001213",3.1,"7","7",3548296.9652665,0,NA,NA
"70",10001001218,"1393","139310001001218",2.4,"8","8",3548296.9652665,0,NA,NA
"71",10001001220,"1393","139310001001220",3.1,"5","5",3548296.9652665,0,NA,NA
"72",10001001223,"1393","139310001001223",3.1,"8","8",3548296.9652665,0,NA,NA
"73",10001001308,"1393","139310001001308",2.7,"10","9",3548296.9652665,0,NA,NA
"74",10001001312,"1393","139310001001312",2.4,"6","6",3548296.9652665,0,NA,NA
"75",10001001313,"1393","139310001001313",2.4,"4","4",3548296.9652665,0,NA,NA
"76",10001001316,"1393","139310001001316",3.4,"4","4",3548296.9652665,0,NA,NA
"77",10001001320,"1393","139310001001320",1.7,"2","3",3548296.9652665,1,0.116492546555818,0.0135705134030595
"78",10001001323,"1393","139310001001323",2.7,"8","7",3548296.9652665,0,NA,NA
"79",10001001408,"1393","139310001001408",1.7,"1","1",3548296.9652665,1,0.532055135915177,0.283082667653717
"80",10001001412,"1393","139310001001412",3.1,"2","2",3548296.9652665,1,0.198975415799343,0.0395912160925216
