"","a_HHID","a_year","a_ID","calc_EqSize","calc_real.decile","calc_nom.decile","calc_poverty.line","calc_final.poor","calc_poverty.gap","calc_povery.intensity"
"1",10001000108,"1398","139810001000108",3.8,"5","5",8656758.45739557,0,NA,NA
"2",10001000111,"1398","139810001000111",2.2,"10","10",8656758.45739557,0,NA,NA
"3",10001000114,"1398","139810001000114",1,"9","9",8656758.45739557,0,NA,NA
"4",10001000117,"1398","139810001000117",3.1,"6","6",8656758.45739557,0,NA,NA
"5",10001000120,"1398","139810001000120",2.9,"5","6",8656758.45739557,0,NA,NA
"6",10001000123,"1398","139810001000123",3.1,"10","9",8656758.45739557,0,NA,NA
"7",10001000209,"1398","139810001000209",2.4,"5","5",8656758.45739557,0,NA,NA
"8",10001000211,"1398","139810001000211",2.4,"7","7",8656758.45739557,0,NA,NA
"9",10001000214,"1398","139810001000214",3.2,"7","7",8656758.45739557,0,NA,NA
"10",10001000217,"1398","139810001000217",1,"7","7",8656758.45739557,0,NA,NA
"11",10001000220,"1398","139810001000220",2.2,"9","9",8656758.45739557,0,NA,NA
"12",10001000223,"1398","139810001000223",1.7,"8","8",8656758.45739557,0,NA,NA
"13",10001000308,"1398","139810001000308",1,"9","9",8656758.45739557,0,NA,NA
"14",10001000309,"1398","139810001000309",2.2,"10","9",8656758.45739557,0,NA,NA
"15",10001000314,"1398","139810001000314",1.7,"10","9",8656758.45739557,0,NA,NA
"16",10001000317,"1398","139810001000317",2.4,"9","8",8656758.45739557,0,NA,NA
"17",10001000320,"1398","139810001000320",2.4,"8","8",8656758.45739557,0,NA,NA
"18",10001000323,"1398","139810001000323",2.4,"8","8",8656758.45739557,0,NA,NA
"19",10001000407,"1398","139810001000407",1.5,"7","7",8656758.45739557,0,NA,NA
"20",10001000408,"1398","139810001000408",1.7,"7","7",8656758.45739557,0,NA,NA
"21",10001000414,"1398","139810001000414",2.2,"7","7",8656758.45739557,0,NA,NA
"22",10001000417,"1398","139810001000417",3.8,"5","5",8656758.45739557,0,NA,NA
"23",10001000420,"1398","139810001000420",1.7,"8","8",8656758.45739557,0,NA,NA
"24",10001000423,"1398","139810001000423",2.2,"7","7",8656758.45739557,0,NA,NA
"25",10001000508,"1398","139810001000508",2.7,"7","7",8656758.45739557,0,NA,NA
"26",10001000511,"1398","139810001000511",3.1,"6","6",8656758.45739557,0,NA,NA
"27",10001000514,"1398","139810001000514",2.7,"9","9",8656758.45739557,0,NA,NA
"28",10001000517,"1398","139810001000517",2.4,"7","7",8656758.45739557,0,NA,NA
"29",10001000520,"1398","139810001000520",1.7,"7","7",8656758.45739557,0,NA,NA
"30",10001000609,"1398","139810001000609",2.2,"6","6",8656758.45739557,0,NA,NA
"31",10001000612,"1398","139810001000612",1.7,"7","7",8656758.45739557,0,NA,NA
"32",10001000613,"1398","139810001000613",1,"7","7",8656758.45739557,0,NA,NA
"33",10001000615,"1398","139810001000615",1.7,"6","7",8656758.45739557,0,NA,NA
"34",10001000620,"1398","139810001000620",2.9,"7","7",8656758.45739557,0,NA,NA
"35",10001000623,"1398","139810001000623",1.7,"8","8",8656758.45739557,0,NA,NA
"36",10001000707,"1398","139810001000707",3.7,"6","7",8656758.45739557,0,NA,NA
"37",10001000711,"1398","139810001000711",2.4,"4","4",8656758.45739557,1,0.0303344372845968,0.000920178085373139
"38",10001000715,"1398","139810001000715",2.4,"8","8",8656758.45739557,0,NA,NA
"39",10001000716,"1398","139810001000716",1,"7","7",8656758.45739557,0,NA,NA
"40",10001000720,"1398","139810001000720",2.7,"5","5",8656758.45739557,0,NA,NA
"41",10001000723,"1398","139810001000723",2.2,"7","7",8656758.45739557,0,NA,NA
"42",10001000910,"1398","139810001000910",1.7,"9","8",8656758.45739557,0,NA,NA
"43",10001000911,"1398","139810001000911",2.2,"8","8",8656758.45739557,0,NA,NA
"44",10001000915,"1398","139810001000915",1.7,"6","5",8656758.45739557,0,NA,NA
"45",10001000916,"1398","139810001000916",2.2,"6","7",8656758.45739557,0,NA,NA
"46",10001000920,"1398","139810001000920",2.7,"8","8",8656758.45739557,0,NA,NA
"47",10001000923,"1398","139810001000923",2.2,"5","5",8656758.45739557,0,NA,NA
"48",10001001010,"1398","139810001001010",2.4,"9","8",8656758.45739557,0,NA,NA
"49",10001001013,"1398","139810001001013",3.1,"5","5",8656758.45739557,0,NA,NA
"50",10001001015,"1398","139810001001015",2.4,"5","5",8656758.45739557,0,NA,NA
"51",10001001020,"1398","139810001001020",1.7,"9","8",8656758.45739557,0,NA,NA
"52",10001001023,"1398","139810001001023",3.6,"6","6",8656758.45739557,0,NA,NA
"53",10001001108,"1398","139810001001108",3.1,"4","4",8656758.45739557,1,0.0356948942069703,0.0012741254724468
"54",10001001109,"1398","139810001001109",1,"10","9",8656758.45739557,0,NA,NA
"55",10001001114,"1398","139810001001114",2.4,"6","7",8656758.45739557,0,NA,NA
"56",10001001116,"1398","139810001001116",2.7,"9","8",8656758.45739557,0,NA,NA
"57",10001001120,"1398","139810001001120",1,"10","10",8656758.45739557,0,NA,NA
"58",10001001123,"1398","139810001001123",1.7,"10","10",8656758.45739557,0,NA,NA
"59",10001001207,"1398","139810001001207",1.7,"7","7",8656758.45739557,0,NA,NA
"60",10001001212,"1398","139810001001212",2.9,"5","5",8656758.45739557,0,NA,NA
"61",10001001216,"1398","139810001001216",1,"9","9",8656758.45739557,0,NA,NA
"62",10001001217,"1398","139810001001217",1.7,"6","6",8656758.45739557,0,NA,NA
"63",10001001220,"1398","139810001001220",1.7,"9","9",8656758.45739557,0,NA,NA
"64",10001001223,"1398","139810001001223",2.4,"8","8",8656758.45739557,0,NA,NA
"65",10001001308,"1398","139810001001308",2.7,"9","9",8656758.45739557,0,NA,NA
"66",10001001311,"1398","139810001001311",2.2,"8","8",8656758.45739557,0,NA,NA
"67",10001001314,"1398","139810001001314",2.9,"9","8",8656758.45739557,0,NA,NA
"68",10001001315,"1398","139810001001315",1.7,"10","10",8656758.45739557,0,NA,NA
"69",10001001320,"1398","139810001001320",2.2,"8","8",8656758.45739557,0,NA,NA
"70",10001001323,"1398","139810001001323",1.7,"10","10",8656758.45739557,0,NA,NA
"71",10001001409,"1398","139810001001409",2.7,"7","7",8656758.45739557,0,NA,NA
"72",10001001411,"1398","139810001001411",3.1,"5","5",8656758.45739557,0,NA,NA
"73",10001001414,"1398","139810001001414",2.4,"9","9",8656758.45739557,0,NA,NA
"74",10001001415,"1398","139810001001415",2.7,"7","5",8656758.45739557,0,NA,NA
"75",10001001420,"1398","139810001001420",2.9,"9","9",8656758.45739557,0,NA,NA
"76",10001001423,"1398","139810001001423",2.9,"9","8",8656758.45739557,0,NA,NA
"77",10001001510,"1398","139810001001510",1,"6","6",8656758.45739557,0,NA,NA
"78",10001001512,"1398","139810001001512",3.6,"3","4",8656758.45739557,1,0.0867733765731113,0.00752961888189898
"79",10001001514,"1398","139810001001514",3.1,"3","4",8656758.45739557,1,0.0765746376118408,0.00586367512538475
"80",10001001516,"1398","139810001001516",3.1,"5","6",8656758.45739557,0,NA,NA
"81",10001001520,"1398","139810001001520",2.7,"3","3",8656758.45739557,1,0.157907594718792,0.0249348084698742
"82",10001001523,"1398","139810001001523",1.7,"1","1",8656758.45739557,1,0.585090388564646,0.342330762790728
"83",10001001608,"1398","139810001001608",1,"9","9",8656758.45739557,0,NA,NA
"84",10001001612,"1398","139810001001612",2.2,"8","8",8656758.45739557,0,NA,NA
"85",10001001614,"1398","139810001001614",3.1,"7","7",8656758.45739557,0,NA,NA
"86",10001001618,"1398","139810001001618",3.1,"6","6",8656758.45739557,0,NA,NA
"87",10001001620,"1398","139810001001620",1.7,"6","6",8656758.45739557,0,NA,NA
"88",10001001623,"1398","139810001001623",2.4,"8","8",8656758.45739557,0,NA,NA
"89",10001001708,"1398","139810001001708",1.7,"9","9",8656758.45739557,0,NA,NA
"90",10001001712,"1398","139810001001712",1.7,"2","2",8656758.45739557,1,0.341061550535156,0.116322981253445
"91",10001001713,"1398","139810001001713",1,"2","2",8656758.45739557,1,0.331266363493388,0.109737403582134
"92",10001001714,"1398","139810001001714",2.9,"1","2",8656758.45739557,1,0.440763749016067,0.194272682446699
"93",10001001720,"1398","139810001001720",1.7,"4","4",8656758.45739557,1,0.0310000513597161,0.000961003184305034
"94",10001001723,"1398","139810001001723",3.1,"5","5",8656758.45739557,0,NA,NA
"95",10001001807,"1398","139810001001807",2.2,"7","6",8656758.45739557,0,NA,NA
"96",10001001811,"1398","139810001001811",2.4,"9","9",8656758.45739557,0,NA,NA
"97",10001001814,"1398","139810001001814",2.4,"6","6",8656758.45739557,0,NA,NA
"98",10001001817,"1398","139810001001817",2.7,"5","6",8656758.45739557,0,NA,NA
"99",10001001820,"1398","139810001001820",1.7,"3","4",8656758.45739557,1,0.100048810725034,0.0100097645274936
"100",10001001823,"1398","139810001001823",2.2,"8","7",8656758.45739557,0,NA,NA
"101",10001001909,"1398","139810001001909",2.4,"4","5",8656758.45739557,0,NA,NA
"102",10001001911,"1398","139810001001911",1.7,"9","8",8656758.45739557,0,NA,NA
"103",10001001914,"1398","139810001001914",2.2,"6","6",8656758.45739557,0,NA,NA
"104",10001001916,"1398","139810001001916",1.7,"4","5",8656758.45739557,0,NA,NA
"105",10001001920,"1398","139810001001920",2.7,"6","6",8656758.45739557,0,NA,NA
"106",10001001923,"1398","139810001001923",2.9,"4","4",8656758.45739557,1,0.0522165818829135,0.00272657142353502
"107",10001002008,"1398","139810001002008",1.7,"7","7",8656758.45739557,0,NA,NA
"108",10001002012,"1398","139810001002012",2.4,"4","5",8656758.45739557,0,NA,NA
"109",10001002014,"1398","139810001002014",1.7,"8","8",8656758.45739557,0,NA,NA
"110",10001002018,"1398","139810001002018",1.7,"8","8",8656758.45739557,0,NA,NA
"111",10001002020,"1398","139810001002020",2.2,"5","5",8656758.45739557,0,NA,NA
"112",10001002023,"1398","139810001002023",3.6,"6","6",8656758.45739557,0,NA,NA
"113",10001002207,"1398","139810001002207",3.8,"6","6",8656758.45739557,0,NA,NA
"114",10001002211,"1398","139810001002211",2.7,"1","2",8656758.45739557,1,0.37056325858481,0.137317128612993
"115",10001002217,"1398","139810001002217",3.1,"6","6",8656758.45739557,0,NA,NA
"116",10001002218,"1398","139810001002218",2.7,"4","4",8656758.45739557,1,0.0956824712750292,0.00915513530929678
"117",10001002220,"1398","139810001002220",3.4,"4","4",8656758.45739557,1,0.0332699986901662,0.00110689281284366
"118",10001002223,"1398","139810001002223",2.4,"6","6",8656758.45739557,0,NA,NA
"119",10001002308,"1398","139810001002308",3.8,"3","4",8656758.45739557,1,0.0846654378021426,0.00716823635822847
