"","a_HHID","a_year","a_ID","calc_EqSize","calc_real.decile","calc_nom.decile","calc_poverty.line","calc_final.poor","calc_poverty.gap","calc_povery.intensity"
"1",10001000126,"1401","140110001000126",1.7,"10","10",26889224.8052031,0,NA,NA
"2",10001000130,"1401","140110001000130",1,"10","10",26889224.8052031,0,NA,NA
"3",10001000132,"1401","140110001000132",1.7,"10","9",26889224.8052031,0,NA,NA
"4",10001000135,"1401","140110001000135",1.7,"5","5",26889224.8052031,0,NA,NA
"5",10001000138,"1401","140110001000138",2.2,"10","10",26889224.8052031,0,NA,NA
"6",10001000141,"1401","140110001000141",1.7,"10","10",26889224.8052031,0,NA,NA
"7",10001000226,"1401","140110001000226",2.9,"4","5",26889224.8052031,0,NA,NA
"8",10001000230,"1401","140110001000230",3.1,"6","6",26889224.8052031,0,NA,NA
"9",10001000232,"1401","140110001000232",3.1,"6","6",26889224.8052031,0,NA,NA
"10",10001000235,"1401","140110001000235",3.6,"8","8",26889224.8052031,0,NA,NA
"11",10001000238,"1401","140110001000238",4.3,"5","2",26889224.8052031,1,0.341139654937267,0.116376264170718
"12",10001000241,"1401","140110001000241",3.6,"8","8",26889224.8052031,0,NA,NA
"13",10001000326,"1401","140110001000326",2.2,"9","9",26889224.8052031,0,NA,NA
"14",10001000329,"1401","140110001000329",2.9,"8","8",26889224.8052031,0,NA,NA
"15",10001000332,"1401","140110001000332",2.4,"8","8",26889224.8052031,0,NA,NA
"16",10001000336,"1401","140110001000336",1.7,"8","8",26889224.8052031,0,NA,NA
"17",10001000338,"1401","140110001000338",1,"10","10",26889224.8052031,0,NA,NA
"18",10001000341,"1401","140110001000341",1,"10","10",26889224.8052031,0,NA,NA
"19",10001000425,"1401","140110001000425",2.2,"7","7",26889224.8052031,0,NA,NA
"20",10001000426,"1401","140110001000426",3.6,"1","2",26889224.8052031,1,0.403907251280602,0.163141067637051
"21",10001000432,"1401","140110001000432",2.4,"9","9",26889224.8052031,0,NA,NA
"22",10001000435,"1401","140110001000435",3.1,"8","8",26889224.8052031,0,NA,NA
"23",10001000438,"1401","140110001000438",1.7,"10","9",26889224.8052031,0,NA,NA
"24",10001000441,"1401","140110001000441",2.4,"5","6",26889224.8052031,0,NA,NA
"25",10001000526,"1401","140110001000526",2.7,"7","7",26889224.8052031,0,NA,NA
"26",10001000530,"1401","140110001000530",1.7,"10","10",26889224.8052031,0,NA,NA
"27",10001000531,"1401","140110001000531",1.7,"10","10",26889224.8052031,0,NA,NA
"28",10001000533,"1401","140110001000533",2.9,"7","7",26889224.8052031,0,NA,NA
"29",10001000538,"1401","140110001000538",2.7,"10","10",26889224.8052031,0,NA,NA
"30",10001000541,"1401","140110001000541",1,"10","10",26889224.8052031,0,NA,NA
"31",10001000625,"1401","140110001000625",2.4,"7","7",26889224.8052031,0,NA,NA
"32",10001000627,"1401","140110001000627",1.7,"9","9",26889224.8052031,0,NA,NA
"33",10001000632,"1401","140110001000632",2.4,"6","6",26889224.8052031,0,NA,NA
"34",10001000635,"1401","140110001000635",2.4,"6","7",26889224.8052031,0,NA,NA
"35",10001000638,"1401","140110001000638",3.8,"4","5",26889224.8052031,0,NA,NA
"36",10001000641,"1401","140110001000641",3.4,"6","6",26889224.8052031,0,NA,NA
"37",10001000726,"1401","140110001000726",3.4,"3","4",26889224.8052031,1,0.151649824330963,0.022997669219612
"38",10001000729,"1401","140110001000729",3.1,"4","4",26889224.8052031,1,0.0293435062604654,0.000861041359657974
"39",10001000731,"1401","140110001000731",1.7,"5","6",26889224.8052031,0,NA,NA
"40",10001000732,"1401","140110001000732",3.1,"2","2",26889224.8052031,1,0.334105709160348,0.111626624893539
"41",10001000738,"1401","140110001000738",1.7,"4","5",26889224.8052031,0,NA,NA
"42",10001000741,"1401","140110001000741",1.7,"5","6",26889224.8052031,0,NA,NA
"43",10001000926,"1401","140110001000926",3.1,"7","8",26889224.8052031,0,NA,NA
"44",10001000930,"1401","140110001000930",1.7,"7","7",26889224.8052031,0,NA,NA
"45",10001000932,"1401","140110001000932",2.7,"10","10",26889224.8052031,0,NA,NA
"46",10001000935,"1401","140110001000935",2.9,"5","5",26889224.8052031,0,NA,NA
"47",10001000938,"1401","140110001000938",2.2,"9","9",26889224.8052031,0,NA,NA
"48",10001000941,"1401","140110001000941",2.7,"6","7",26889224.8052031,0,NA,NA
"49",10001001027,"1401","140110001001027",1.7,"10","10",26889224.8052031,0,NA,NA
"50",10001001029,"1401","140110001001029",2.4,"10","10",26889224.8052031,0,NA,NA
"51",10001001033,"1401","140110001001033",3.6,"10","10",26889224.8052031,0,NA,NA
"52",10001001036,"1401","140110001001036",1.7,"9","7",26889224.8052031,0,NA,NA
"53",10001001038,"1401","140110001001038",3.2,"10","10",26889224.8052031,0,NA,NA
"54",10001001041,"1401","140110001001041",1.7,"10","10",26889224.8052031,0,NA,NA
"55",10001001125,"1401","140110001001125",3.1,"9","9",26889224.8052031,0,NA,NA
"56",10001001128,"1401","140110001001128",2,"8","8",26889224.8052031,0,NA,NA
"57",10001001132,"1401","140110001001132",3.1,"7","7",26889224.8052031,0,NA,NA
"58",10001001135,"1401","140110001001135",3.1,"10","10",26889224.8052031,0,NA,NA
"59",10001001138,"1401","140110001001138",2.2,"10","10",26889224.8052031,0,NA,NA
"60",10001001141,"1401","140110001001141",2.9,"10","10",26889224.8052031,0,NA,NA
"61",10001001226,"1401","140110001001226",2.4,"5","5",26889224.8052031,0,NA,NA
"62",10001001227,"1401","140110001001227",1.7,"4","5",26889224.8052031,0,NA,NA
"63",10001001234,"1401","140110001001234",2.2,"9","9",26889224.8052031,0,NA,NA
"64",10001001236,"1401","140110001001236",1.7,"2","3",26889224.8052031,1,0.298989896138769,0.089394957993072
"65",10001001238,"1401","140110001001238",3.1,"4","5",26889224.8052031,0,NA,NA
"66",10001001241,"1401","140110001001241",2.4,"6","6",26889224.8052031,0,NA,NA
"67",10001001328,"1401","140110001001328",1.7,"7","7",26889224.8052031,0,NA,NA
"68",10001001330,"1401","140110001001330",3.4,"4","5",26889224.8052031,0,NA,NA
"69",10001001332,"1401","140110001001332",2.9,"7","7",26889224.8052031,0,NA,NA
"70",10001001333,"1401","140110001001333",1.7,"7","7",26889224.8052031,0,NA,NA
"71",10001001338,"1401","140110001001338",2.2,"8","8",26889224.8052031,0,NA,NA
"72",10001001341,"1401","140110001001341",1.7,"3","4",26889224.8052031,1,0.0548163037930376,0.00300482716153059
"73",10001001428,"1401","140110001001428",2.7,"4","2",26889224.8052031,1,0.353928871828247,0.125265646313616
"74",10001001429,"1401","140110001001429",1,"7","7",26889224.8052031,0,NA,NA
"75",10001001435,"1401","140110001001435",3.1,"4","5",26889224.8052031,0,NA,NA
"76",10001001436,"1401","140110001001436",2.9,"2","1",26889224.8052031,1,0.749161113880511,0.561242374550689
"77",10001001438,"1401","140110001001438",2.2,"5","3",26889224.8052031,1,0.311798634327845,0.0972183883687095
"78",10001001441,"1401","140110001001441",1,"10","10",26889224.8052031,0,NA,NA
"79",10001001527,"1401","140110001001527",2.4,"4","5",26889224.8052031,0,NA,NA
"80",10001001528,"1401","140110001001528",1.7,"1","1",26889224.8052031,1,0.635960459655697,0.404445706245486
"81",10001001532,"1401","140110001001532",2.4,"1","1",26889224.8052031,1,0.493338506244109,0.243382881743168
"82",10001001534,"1401","140110001001534",1,"9","9",26889224.8052031,0,NA,NA
"83",10001001538,"1401","140110001001538",1.7,"7","7",26889224.8052031,0,NA,NA
"84",10001001541,"1401","140110001001541",2.9,"4","3",26889224.8052031,1,0.203397874210008,0.0413706952331503
"85",10001001625,"1401","140110001001625",1.7,"7","7",26889224.8052031,0,NA,NA
"86",10001001628,"1401","140110001001628",1.7,"9","9",26889224.8052031,0,NA,NA
"87",10001001632,"1401","140110001001632",1.7,"8","8",26889224.8052031,0,NA,NA
"88",10001001633,"1401","140110001001633",3.1,"1","2",26889224.8052031,1,0.400236372408544,0.160189153798751
"89",10001001641,"1401","140110001001641",1.7,"2","2",26889224.8052031,1,0.330629492102346,0.109315861047855
"90",10001001726,"1401","140110001001726",1.7,"8","8",26889224.8052031,0,NA,NA
"91",10001001727,"1401","140110001001727",1.7,"10","9",26889224.8052031,0,NA,NA
"92",10001001732,"1401","140110001001732",1.7,"10","10",26889224.8052031,0,NA,NA
"93",10001001735,"1401","140110001001735",2.2,"9","9",26889224.8052031,0,NA,NA
"94",10001001738,"1401","140110001001738",2.4,"4","5",26889224.8052031,0,NA,NA
"95",10001001741,"1401","140110001001741",2.4,"2","3",26889224.8052031,1,0.188458872169422,0.0355167464993707
"96",10001001825,"1401","140110001001825",2.4,"7","5",26889224.8052031,0,NA,NA
"97",10001001826,"1401","140110001001826",2.7,"8","8",26889224.8052031,0,NA,NA
"98",10001001835,"1401","140110001001835",1.7,"7","7",26889224.8052031,0,NA,NA
"99",10001001836,"1401","140110001001836",3.8,"7","5",26889224.8052031,0,NA,NA
"100",10001001838,"1401","140110001001838",3.8,"1","2",26889224.8052031,1,0.443141815207715,0.196374668385588
"101",10001001841,"1401","140110001001841",1.7,"6","6",26889224.8052031,0,NA,NA
"102",10001001925,"1401","140110001001925",2.2,"6","4",26889224.8052031,1,0.0642167240848756,0.00412378765219304
"103",10001001929,"1401","140110001001929",1.7,"7","7",26889224.8052031,0,NA,NA
"104",10001001932,"1401","140110001001932",3.8,"3","4",26889224.8052031,1,0.139573670857191,0.0194808095965516
"105",10001001935,"1401","140110001001935",2.2,"4","5",26889224.8052031,0,NA,NA
"106",10001001938,"1401","140110001001938",1.7,"5","3",26889224.8052031,1,0.218677428388731,0.0478198176867084
"107",10001001941,"1401","140110001001941",3.1,"2","3",26889224.8052031,1,0.18508632728653,0.0342569485484166
"108",10001002025,"1401","140110001002025",1.7,"4","5",26889224.8052031,0,NA,NA
"109",10001002029,"1401","140110001002029",1.7,"4","5",26889224.8052031,0,NA,NA
"110",10001002034,"1401","140110001002034",3.8,"5","5",26889224.8052031,0,NA,NA
"111",10001002035,"1401","140110001002035",1,"6","7",26889224.8052031,0,NA,NA
"112",10001002038,"1401","140110001002038",1.7,"7","7",26889224.8052031,0,NA,NA
"113",10001002041,"1401","140110001002041",2.7,"7","7",26889224.8052031,0,NA,NA
"114",10001002226,"1401","140110001002226",1.7,"4","5",26889224.8052031,0,NA,NA
"115",10001002229,"1401","140110001002229",1.7,"8","8",26889224.8052031,0,NA,NA
"116",10001002232,"1401","140110001002232",2.9,"5","5",26889224.8052031,0,NA,NA
"117",10001002235,"1401","140110001002235",2.4,"9","9",26889224.8052031,0,NA,NA
"118",10001002238,"1401","140110001002238",3.2,"10","10",26889224.8052031,0,NA,NA
"119",10001002329,"1401","140110001002329",3.1,"7","7",26889224.8052031,0,NA,NA
"120",10001002330,"1401","140110001002330",3.1,"10","10",26889224.8052031,0,NA,NA
"121",10001002332,"1401","140110001002332",1.7,"9","9",26889224.8052031,0,NA,NA
"122",10001002335,"1401","140110001002335",1.7,"8","8",26889224.8052031,0,NA,NA
"123",10001002338,"1401","140110001002338",1.7,"10","10",26889224.8052031,0,NA,NA
"124",10001002341,"1401","140110001002341",2.2,"10","10",26889224.8052031,0,NA,NA
"125",10001002425,"1401","140110001002425",2.7,"6","7",26889224.8052031,0,NA,NA
"126",10001002430,"1401","140110001002430",3.1,"8","8",26889224.8052031,0,NA,NA
"127",10001002432,"1401","140110001002432",2.7,"9","9",26889224.8052031,0,NA,NA
"128",10001002435,"1401","140110001002435",1.7,"7","7",26889224.8052031,0,NA,NA
"129",10001002438,"1401","140110001002438",2.7,"8","8",26889224.8052031,0,NA,NA
"130",10001002441,"1401","140110001002441",2.4,"10","10",26889224.8052031,0,NA,NA
"131",10001002526,"1401","140110001002526",1.7,"8","8",26889224.8052031,0,NA,NA
"132",10001002529,"1401","140110001002529",2.4,"2","2",26889224.8052031,1,0.360790371606383,0.130169692243872
"133",10001002532,"1401","140110001002532",1,"7","7",26889224.8052031,0,NA,NA
"134",10001002534,"1401","140110001002534",3.4,"8","8",26889224.8052031,0,NA,NA
"135",10001002538,"1401","140110001002538",2.7,"10","10",26889224.8052031,0,NA,NA
"136",10001002541,"1401","140110001002541",3.1,"8","8",26889224.8052031,0,NA,NA
"137",10001002625,"1401","140110001002625",3.4,"1","2",26889224.8052031,1,0.461407080007629,0.212896493481166
"138",10001002629,"1401","140110001002629",2.9,"1","1",26889224.8052031,1,0.576504971072487,0.332357981671289
"139",10001002631,"1401","140110001002631",2.4,"4","4",26889224.8052031,1,0.0111806880689096,0.000125007785694258
"140",10001002634,"1401","140110001002634",2.4,"3","4",26889224.8052031,1,0.0793295132277064,0.00629317166894485
"141",10001002638,"1401","140110001002638",1,"8","8",26889224.8052031,0,NA,NA
"142",10001002641,"1401","140110001002641",2.4,"3","4",26889224.8052031,1,0.110559249430124,0.0122233476345525
"143",10001002725,"1401","140110001002725",2.9,"9","9",26889224.8052031,0,NA,NA
"144",10001002726,"1401","140110001002726",2.4,"6","6",26889224.8052031,0,NA,NA
"145",10001002732,"1401","140110001002732",2.7,"7","7",26889224.8052031,0,NA,NA
"146",10001002735,"1401","140110001002735",2.9,"8","8",26889224.8052031,0,NA,NA
"147",10001002738,"1401","140110001002738",2,"5","5",26889224.8052031,0,NA,NA
"148",10001002741,"1401","140110001002741",3.1,"10","9",26889224.8052031,0,NA,NA
"149",10002002825,"1401","140110002002825",1.7,"10","10",26889224.8052031,0,NA,NA
"150",10002002827,"1401","140110002002827",2.4,"3","4",26889224.8052031,1,0.0444564939406193,0.00197637985349232
"151",10002002832,"1401","140110002002832",3.1,"2","3",26889224.8052031,1,0.254016368760491,0.0645243155982657
"152",10002002835,"1401","140110002002835",2.7,"3","3",26889224.8052031,1,0.170391827624223,0.029033374921123
