"","a_HHID","a_year","a_ID","calc_EqSize","calc_real.decile","calc_nom.decile","calc_poverty.line","calc_final.poor","calc_poverty.gap","calc_povery.intensity"
"1",10001000119,"1400","140010001000119",2.9,"6","7",17098728.9671461,0,NA,NA
"2",10001000120,"1400","140010001000120",3.1,"9","9",17098728.9671461,0,NA,NA
"3",10001000126,"1400","140010001000126",1,"9","9",17098728.9671461,0,NA,NA
"4",10001000130,"1400","140010001000130",1.7,"10","10",17098728.9671461,0,NA,NA
"5",10001000132,"1400","140010001000132",2.4,"7","8",17098728.9671461,0,NA,NA
"6",10001000135,"1400","140010001000135",1.7,"8","7",17098728.9671461,0,NA,NA
"7",10001000220,"1400","140010001000220",2.4,"9","9",17098728.9671461,0,NA,NA
"8",10001000221,"1400","140010001000221",2.2,"9","8",17098728.9671461,0,NA,NA
"9",10001000226,"1400","140010001000226",1,"8","6",17098728.9671461,0,NA,NA
"10",10001000230,"1400","140010001000230",1.7,"6","7",17098728.9671461,0,NA,NA
"11",10001000232,"1400","140010001000232",1.7,"10","10",17098728.9671461,0,NA,NA
"12",10001000235,"1400","140010001000235",3.6,"6","7",17098728.9671461,0,NA,NA
"13",10001000319,"1400","140010001000319",2.4,"6","7",17098728.9671461,0,NA,NA
"14",10001000321,"1400","140010001000321",2.2,"6","7",17098728.9671461,0,NA,NA
"15",10001000326,"1400","140010001000326",2.2,"7","8",17098728.9671461,0,NA,NA
"16",10001000329,"1400","140010001000329",2.9,"9","9",17098728.9671461,0,NA,NA
"17",10001000332,"1400","140010001000332",2.4,"9","9",17098728.9671461,0,NA,NA
"18",10001000335,"1400","140010001000335",1.7,"6","7",17098728.9671461,0,NA,NA
"19",10001000420,"1400","140010001000420",1.7,"8","9",17098728.9671461,0,NA,NA
"20",10001000423,"1400","140010001000423",3.2,"7","7",17098728.9671461,0,NA,NA
"21",10001000425,"1400","140010001000425",2.2,"8","9",17098728.9671461,0,NA,NA
"22",10001000426,"1400","140010001000426",1.7,"8","8",17098728.9671461,0,NA,NA
"23",10001000432,"1400","140010001000432",2.4,"8","8",17098728.9671461,0,NA,NA
"24",10001000435,"1400","140010001000435",3.1,"6","7",17098728.9671461,0,NA,NA
"25",10001000519,"1400","140010001000519",1,"10","10",17098728.9671461,0,NA,NA
"26",10001000521,"1400","140010001000521",2.2,"9","9",17098728.9671461,0,NA,NA
"27",10001000528,"1400","140010001000528",2.7,"8","8",17098728.9671461,0,NA,NA
"28",10001000530,"1400","140010001000530",1.7,"10","10",17098728.9671461,0,NA,NA
"29",10001000532,"1400","140010001000532",2.9,"2","3",17098728.9671461,1,0.155564784717071,0.0242004022440688
"30",10001000535,"1400","140010001000535",3.8,"10","10",17098728.9671461,0,NA,NA
"31",10001000619,"1400","140010001000619",1.7,"8","9",17098728.9671461,0,NA,NA
"32",10001000622,"1400","140010001000622",2.4,"7","8",17098728.9671461,0,NA,NA
"33",10001000625,"1400","140010001000625",1.7,"8","8",17098728.9671461,0,NA,NA
"34",10001000627,"1400","140010001000627",3.8,"4","5",17098728.9671461,0,NA,NA
"35",10001000632,"1400","140010001000632",2.4,"6","7",17098728.9671461,0,NA,NA
"36",10001000635,"1400","140010001000635",1.7,"7","8",17098728.9671461,0,NA,NA
"37",10001000720,"1400","140010001000720",2.7,"7","8",17098728.9671461,0,NA,NA
"38",10001000723,"1400","140010001000723",3.1,"4","5",17098728.9671461,0,NA,NA
"39",10001000726,"1400","140010001000726",3.4,"3","5",17098728.9671461,0,NA,NA
"40",10001000729,"1400","140010001000729",3.1,"5","6",17098728.9671461,0,NA,NA
"41",10001000732,"1400","140010001000732",2.2,"5","6",17098728.9671461,0,NA,NA
"42",10001000735,"1400","140010001000735",1.7,"6","7",17098728.9671461,0,NA,NA
"43",10001000921,"1400","140010001000921",1.7,"9","10",17098728.9671461,0,NA,NA
"44",10001000923,"1400","140010001000923",2.2,"10","9",17098728.9671461,0,NA,NA
"45",10001000926,"1400","140010001000926",3.1,"8","9",17098728.9671461,0,NA,NA
"46",10001000929,"1400","140010001000929",1.7,"10","10",17098728.9671461,0,NA,NA
"47",10001000932,"1400","140010001000932",2.7,"9","9",17098728.9671461,0,NA,NA
"48",10001000935,"1400","140010001000935",2.7,"8","9",17098728.9671461,0,NA,NA
"49",10001001021,"1400","140010001001021",1.7,"10","10",17098728.9671461,0,NA,NA
"50",10001001023,"1400","140010001001023",2.9,"10","10",17098728.9671461,0,NA,NA
"51",10001001026,"1400","140010001001026",1.7,"10","10",17098728.9671461,0,NA,NA
"52",10001001029,"1400","140010001001029",1.7,"10","10",17098728.9671461,0,NA,NA
"53",10001001032,"1400","140010001001032",3.6,"10","10",17098728.9671461,0,NA,NA
"54",10001001035,"1400","140010001001035",2.4,"7","8",17098728.9671461,0,NA,NA
"55",10001001119,"1400","140010001001119",1.7,"10","9",17098728.9671461,0,NA,NA
"56",10001001120,"1400","140010001001120",2.9,"7","8",17098728.9671461,0,NA,NA
"57",10001001125,"1400","140010001001125",3.1,"7","8",17098728.9671461,0,NA,NA
"58",10001001128,"1400","140010001001128",2.4,"9","9",17098728.9671461,0,NA,NA
"59",10001001132,"1400","140010001001132",1,"10","9",17098728.9671461,0,NA,NA
"60",10001001135,"1400","140010001001135",1.7,"9","10",17098728.9671461,0,NA,NA
"61",10001001223,"1400","140010001001223",2.4,"7","8",17098728.9671461,0,NA,NA
"62",10001001224,"1400","140010001001224",1.7,"4","5",17098728.9671461,0,NA,NA
"63",10001001226,"1400","140010001001226",2.4,"6","7",17098728.9671461,0,NA,NA
"64",10001001229,"1400","140010001001229",1.7,"7","8",17098728.9671461,0,NA,NA
"65",10001001232,"1400","140010001001232",2.4,"9","9",17098728.9671461,0,NA,NA
"66",10001001235,"1400","140010001001235",2.4,"7","8",17098728.9671461,0,NA,NA
"67",10001001319,"1400","140010001001319",2.9,"6","7",17098728.9671461,0,NA,NA
"68",10001001320,"1400","140010001001320",2.2,"8","9",17098728.9671461,0,NA,NA
"69",10001001326,"1400","140010001001326",3.1,"9","9",17098728.9671461,0,NA,NA
"70",10001001329,"1400","140010001001329",2.4,"6","7",17098728.9671461,0,NA,NA
"71",10001001332,"1400","140010001001332",2.9,"8","8",17098728.9671461,0,NA,NA
"72",10001001335,"1400","140010001001335",1.7,"8","9",17098728.9671461,0,NA,NA
"73",10001001423,"1400","140010001001423",2.2,"9","9",17098728.9671461,0,NA,NA
"74",10001001424,"1400","140010001001424",1.7,"7","8",17098728.9671461,0,NA,NA
"75",10001001428,"1400","140010001001428",1.7,"9","9",17098728.9671461,0,NA,NA
"76",10001001429,"1400","140010001001429",1,"10","10",17098728.9671461,0,NA,NA
"77",10001001432,"1400","140010001001432",2.9,"8","9",17098728.9671461,0,NA,NA
"78",10001001435,"1400","140010001001435",3.8,"7","8",17098728.9671461,0,NA,NA
"79",10001001520,"1400","140010001001520",1.7,"9","9",17098728.9671461,0,NA,NA
"80",10001001523,"1400","140010001001523",3.4,"5","6",17098728.9671461,0,NA,NA
"81",10001001527,"1400","140010001001527",1.7,"8","8",17098728.9671461,0,NA,NA
"82",10001001528,"1400","140010001001528",2.2,"7","6",17098728.9671461,0,NA,NA
"83",10001001532,"1400","140010001001532",2.4,"7","6",17098728.9671461,0,NA,NA
